dataset,operating_point,scanner_only_or,scanner_only_wald_p,scanner_only_lrt_p,scanner_plus_clinical_or,scanner_plus_clinical_wald_p,scanner_plus_clinical_lrt_p
g1090_internal,S80,0.10624215169520362,2.2664121816602024e-05,2.0650808356280493e-08,0.21591556949413718,0.005869354465055139,0.0014131709098142364
g1090_internal,S82.5,0.11904581720256523,6.126043851836872e-05,1.8645080207467993e-07,,,
g1090_internal,S85,0.12254512034953964,7.104492085847407e-05,2.0507003644757273e-07,0.28103352823955036,0.022223294034599456,0.009453014227095744
g1090_internal,S87.5,0.17659030444462911,0.0002691779868136833,6.366594313494405e-06,0.4938366629259801,0.1647938915632723,0.13827288553820508
g1090_internal,S90,,,,,,
sdata_external,S80,0.16555578034287435,0.00037428377326217976,2.4763341397517383e-05,0.5180802832696642,0.2236218746391717,0.20174217371482261
sdata_external,S82.5,0.18501129008088654,0.0007453020140394512,6.821225733321298e-05,0.5855968587274067,0.31736381890496057,0.2977157421094989
sdata_external,S85,0.13574943477323786,0.00028920518468644545,7.724278096029346e-06,0.4550989977858519,0.17713642164534893,0.14938030154955664
sdata_external,S87.5,0.19524880964065122,0.00297155943718175,0.00040632488214477114,0.7067133265339834,0.5515656433141248,0.5395153469246707
sdata_external,S90,0.15353946987995462,0.002452597997257065,0.00014379592112624941,0.6050031271270052,0.43836141869849765,0.41483611818638255
