config,threshold_R1,threshold_R2,threshold_R3,threshold_R4,pattern_mask,patterns,n_patterns,survives_internal_constraints,internal_selection_score,internal_min_p_loss,internal_max_sens_loss,internal_min_spec_gain,internal_mean_spec_gain,internal_max_fisher_p,internal_min_deesc_n,internal_mean_event_rate
direct_vote_balanced,0.55,0.55,0.55,0.75,148,"-+--,--+-,+++-",3,True,0.2261279927798173,0.0625,0.03875968992248069,0.06243496357960465,0.06784599375650366,0.00043515889765256236,65,0.05793706293706293
direct_vote_balanced,0.55,0.55,0.55,0.75,164,"-+--,+-+-,+++-",3,True,0.19774624164037813,0.0625,0.03875968992248069,0.05619146722164414,0.06118626430801248,0.0004038380274919101,59,0.06191402373675227
direct_vote_balanced,0.5,0.5,0.5,0.5,33808,"--+-,-+-+,++++",3,True,0.1956146943006558,0.25,0.023255813953488413,0.05098855359001042,0.05827263267429761,0.0004541042531733757,52,0.0486642972110372
direct_vote_guarded,0.75,0.75,0.65,0.65,1044,"-+--,--+-,-+-+",3,True,0.1923827749484389,0.0625,0.03875968992248058,0.05619146722164403,0.05702393340270551,0.005438866402125842,57,0.06132096752694125
direct_vote_balanced,0.75,0.65,0.55,0.75,208,"--+-,-++-,+++-",3,True,0.1881915095773479,0.0625,0.03875968992248069,0.055150884495317354,0.05681581685744017,0.0008935420099196298,56,0.06488045621138147
direct_vote_balanced,0.6,0.6,0.6,0.6,1044,"-+--,--+-,-+-+",3,True,0.18484085980673493,0.125,0.03100775193798455,0.05098855359001042,0.05827263267429763,0.0016108561796059069,52,0.06376011828842018
direct_vote_balanced,0.55,0.55,0.65,0.75,164,"-+--,+-+-,+++-",3,True,0.18301112545415224,0.125,0.03100775193798455,0.04994797086368363,0.05785639958376689,0.0006612707565311448,52,0.05650361774591557
direct_vote_balanced,0.45,0.45,0.45,0.45,33808,"--+-,-+-+,++++",3,True,0.18226676806144712,0.0625,0.03875968992248069,0.04994797086368363,0.06451612903225805,0.0022209329036539027,53,0.06607989073293419
direct_vote_balanced,0.75,0.75,0.65,0.75,84,"-+--,--+-,-++-",3,True,0.18163141212348982,0.0625,0.03875968992248069,0.0520291363163371,0.058688865764828305,0.0014453160485472058,55,0.06335558027437894
direct_vote_balanced,0.7,0.7,0.7,0.7,1044,"-+--,--+-,-+-+",3,True,0.18161699373760298,0.125,0.03100775193798455,0.048907388137356955,0.060353798126951096,0.000970413056114715,51,0.06255489293678371
direct_vote_balanced,0.55,0.55,0.55,0.65,148,"-+--,--+-,+++-",3,True,0.1804708298520883,0.125,0.03100775193798455,0.049947970863683744,0.05702393340270555,0.0016108561796059069,52,0.06226000917880784
direct_vote_guarded,0.55,0.65,0.55,0.75,148,"-+--,--+-,+++-",3,True,0.17928992152593742,0.0625,0.03875968992248058,0.05098855359001042,0.05764828303850154,0.0027043792799306297,51,0.054722794713258895
direct_vote_balanced,0.75,0.75,0.55,0.75,208,"--+-,-++-,+++-",3,True,0.17866500479597783,0.0625,0.03875968992248069,0.05306971904266389,0.054734651404786686,0.0013955543267384005,54,0.06715026856587655
direct_vote_balanced,0.8,0.8,0.8,0.8,65534,"+---,-+--,++--,--+-,+-+-,-++-,+++-,---+,+--+,-+-+,++-+,--++,+-++,-+++,++++",15,True,0.1784619089735391,0.0625,0.03875968992248069,0.0520291363163371,0.05494276795005202,0.0009145258562876719,52,0.05659634745272568
direct_vote_balanced,0.65,0.65,0.65,0.75,148,"-+--,--+-,+++-",3,True,0.17429385940158837,0.0625,0.03875968992248069,0.048907388137356955,0.0616024973985432,0.0020856178052536824,51,0.07034447336900396
