phase,lr,dropout,embed_dim,final_model,final_params,auc
1,0.001,0.2,16,,,0.5280593378866316
1,0.001,0.2,32,,,0.5258189411406446
1,0.001,0.4,16,,,0.5111693565928569
1,0.001,0.4,32,,,0.5320833514595206
1,0.0005,0.2,16,,,0.5157915343454997
1,0.0005,0.2,32,,,0.5248727541653979
1,0.0005,0.4,16,,,0.504763562013312
1,0.0005,0.4,32,,,0.5188367338060643
2,0.001,0.4,32,logreg,{'C': 0.03},0.7128594422934702
2,0.001,0.4,32,logreg,{'C': 0.1},0.7314786618523513
2,0.001,0.4,32,logreg,{'C': 0.3},0.736089963892635
2,0.001,0.4,32,logreg,{'C': 1.0},0.7368730151824945
2,0.001,0.4,32,logreg,{'C': 3.0},0.737112280854396
2,0.001,0.4,32,logreg,{'C': 10.0},0.7368730151824945
2,0.001,0.4,32,random_forest,"{'n_estimators': 200, 'max_depth': 3}",0.6891286379257842
2,0.001,0.4,32,random_forest,"{'n_estimators': 200, 'max_depth': 5}",0.6874102753730369
2,0.001,0.4,32,random_forest,"{'n_estimators': 500, 'max_depth': None}",0.6792099882542307
2,0.001,0.4,32,gradient_boosting,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",0.7000043502849437
2,0.001,0.4,32,gradient_boosting,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.6861595684517335
2,0.001,0.4,32,svm_rbf,"{'C': 1.0, 'gamma': 'scale'}",0.7259320485491799
2,0.001,0.4,32,svm_rbf,"{'C': 10.0, 'gamma': 'scale'}",0.7144472962979075
