feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
imata,internal,clinic4,age_z,,,0.4128302958369283,3.47564790958006e-30,700
imata,internal,clinic4,height_z,,,-0.07438295125706104,0.04916055902691299,700
imata,internal,clinic4,weight_z,,,0.4547197164663278,5.129290682222953e-37,700
nama,internal,clinic4,age_z,,,-0.5066580175260679,6.444175851196336e-47,700
nama,internal,clinic4,height_z,,,0.44528836166463226,2.1495343849034087e-35,700
nama,internal,clinic4,weight_z,,,0.3786461332950123,2.7690743517515087e-25,700
lama,internal,clinic4,age_z,,,0.4092661109585269,1.199909032428581e-29,700
lama,internal,clinic4,height_z,,,-0.025425409327091947,0.5018387302419363,700
lama,internal,clinic4,weight_z,,,0.5092158581234152,1.8889344793355812e-47,700
vat,internal,clinic4,age_z,,,0.4321048400795193,3.284020681943244e-33,700
vat,internal,clinic4,height_z,,,-0.09661266495225598,0.010541311155639754,700
vat,internal,clinic4,weight_z,,,0.543439864518462,4.908458867743847e-55,700
sat,internal,clinic4,age_z,,,0.02541641650977557,0.5019900549602896,700
sat,internal,clinic4,height_z,,,0.060892162470295115,0.10746995317417789,700
sat,internal,clinic4,weight_z,,,0.7064301356480307,7.250392673387058e-107,700
tama,internal,clinic4,age_z,,,-0.1962699305303024,1.6540592022644594e-07,700
tama,internal,clinic4,height_z,,,0.37541501377213704,7.524407353499541e-25,700
tama,internal,clinic4,weight_z,,,0.6512300832233824,1.0623088075479251e-85,700
total_fat,internal,clinic4,age_z,,,0.17579255948832512,2.879854411250424e-06,700
total_fat,internal,clinic4,height_z,,,0.00856493437762612,0.8210411850305633,700
total_fat,internal,clinic4,weight_z,,,0.7060509582216685,1.0532986492455855e-106,700
imata,external,clinic4,age_z,,,0.39837926800559387,2.1688238942267316e-20,498
imata,external,clinic4,height_z,,,-0.05735757865591611,0.20131205581932024,498
imata,external,clinic4,weight_z,,,0.4735238052607017,3.389797580271407e-29,498
nama,external,clinic4,age_z,,,-0.4623371582757094,9.641405465235518e-28,498
nama,external,clinic4,height_z,,,0.40672010108974976,2.9126471175957647e-21,498
nama,external,clinic4,weight_z,,,0.27333955617340994,5.539397959091614e-10,498
lama,external,clinic4,age_z,,,0.3328315122857207,2.3971167771539977e-14,498
lama,external,clinic4,height_z,,,-0.02903648761427308,0.5179661215728782,498
lama,external,clinic4,weight_z,,,0.4611894935027617,1.3498777256109251e-27,498
vat,external,clinic4,age_z,,,0.4041012647094666,5.504432639882365e-21,498
vat,external,clinic4,height_z,,,-0.13573475931363493,0.002401427913809208,498
vat,external,clinic4,weight_z,,,0.4836496637266569,1.4690740027415285e-30,498
sat,external,clinic4,age_z,,,0.04150892153624495,0.3552884079434483,498
sat,external,clinic4,height_z,,,0.0747565825603537,0.09563345655336479,498
sat,external,clinic4,weight_z,,,0.7086465193123629,3.77272180203758e-77,498
tama,external,clinic4,age_z,,,-0.1289290979960677,0.003951877948670809,498
tama,external,clinic4,height_z,,,0.3424113015915632,3.814186530292896e-15,498
tama,external,clinic4,weight_z,,,0.6426924703677752,2.2759273512703983e-59,498
total_fat,external,clinic4,age_z,,,0.17167203442941026,0.00011811304973093186,498
total_fat,external,clinic4,height_z,,,0.007106298615925578,0.8743094222217926,498
total_fat,external,clinic4,weight_z,,,0.6866554157183778,1.0772382654972353e-70,498
