feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
imata,internal,clinic4,age_z,,,0.28453554263556335,1.0668546659124927e-08,390
imata,internal,clinic4,height_z,,,0.026914887403379953,0.5961699509857502,390
imata,internal,clinic4,weight_z,,,0.3529726107643384,6.935309242600752e-13,390
nama,internal,clinic4,age_z,,,-0.3884278046594957,1.7070959845277476e-15,390
nama,internal,clinic4,height_z,,,0.35958299112522585,2.3919306019625965e-13,390
nama,internal,clinic4,weight_z,,,0.4922709882659341,3.393769020872706e-25,390
lama,internal,clinic4,age_z,,,0.21018424154583132,2.860263347049061e-05,390
lama,internal,clinic4,height_z,,,0.06913883031724838,0.17299888627563947,390
lama,internal,clinic4,weight_z,,,0.44159103622110096,4.806914032421317e-20,390
vat,internal,clinic4,age_z,,,0.20039055361037392,6.742645140649545e-05,390
vat,internal,clinic4,height_z,,,0.055354618643158854,0.27549581798944334,390
vat,internal,clinic4,weight_z,,,0.5011265377692946,3.4604440714713473e-26,390
sat,internal,clinic4,age_z,,,-0.08495586064597613,0.093858020972231,390
sat,internal,clinic4,height_z,,,0.16296806609888378,0.0012394279738578372,390
sat,internal,clinic4,weight_z,,,0.5947454875884791,1.1278064990003322e-38,390
tama,internal,clinic4,age_z,,,-0.1680408463126332,0.0008634523026620395,390
tama,internal,clinic4,height_z,,,0.31475322502980374,2.040694737394135e-10,390
tama,internal,clinic4,weight_z,,,0.6324592234957203,5.824304434637614e-45,390
total_fat,internal,clinic4,age_z,,,0.04616037387425449,0.3632693940641497,390
total_fat,internal,clinic4,height_z,,,0.12445166654233254,0.013916833729534363,390
total_fat,internal,clinic4,weight_z,,,0.599058490164075,2.3725199077433967e-39,390
imata,external,clinic4,age_z,,,0.2592530936027174,5.2955802788287326e-08,428
imata,external,clinic4,height_z,,,0.039455963952120615,0.4155296771964452,428
imata,external,clinic4,weight_z,,,0.3677371831789358,3.757872740234039e-15,428
nama,external,clinic4,age_z,,,-0.5017243174525019,1.1436927417436374e-28,428
nama,external,clinic4,height_z,,,0.38916780037055587,6.301658222457587e-17,428
nama,external,clinic4,weight_z,,,0.4297196318739249,1.1606350605817345e-20,428
lama,external,clinic4,age_z,,,0.2153552984575825,6.952824290999854e-06,428
lama,external,clinic4,height_z,,,0.11148303472308305,0.02106434833903219,428
lama,external,clinic4,weight_z,,,0.4330377867110067,5.445879123612041e-21,428
vat,external,clinic4,age_z,,,0.20048342573049927,2.9408730138270015e-05,428
vat,external,clinic4,height_z,,,0.046878551376719646,0.33328077477288115,428
vat,external,clinic4,weight_z,,,0.5210058927108877,3.7296052297686087e-31,428
sat,external,clinic4,age_z,,,-0.10031499663755386,0.03803300200094426,428
sat,external,clinic4,height_z,,,0.2151043832140761,7.1302101523137015e-06,428
sat,external,clinic4,weight_z,,,0.6553781774063234,7.051330660945254e-54,428
tama,external,clinic4,age_z,,,-0.3193417084816853,1.331116170043276e-11,428
tama,external,clinic4,height_z,,,0.4363981003053346,2.509310362085844e-21,428
tama,external,clinic4,weight_z,,,0.7002914723251618,2.3935418053456575e-64,428
total_fat,external,clinic4,age_z,,,0.04085325898942875,0.39919540384142715,428
total_fat,external,clinic4,height_z,,,0.1480843912630921,0.0021292500267547205,428
total_fat,external,clinic4,weight_z,,,0.6381282395286445,2.56365338730035e-50,428
