feature,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
IMATA_SUM,internal,390,0.262615279250762,0.18172101499230744,0.34527112871888754,546.8981458629021,384.63451072325205,0.5125917624170735,1.6279225222213744e-27
IMATA_SUM,external,428,0.24775039544729605,0.12303715316828828,0.34631891594159686,549.9005127174536,389.14028476975443,0.510680339929767,8.375248668376092e-30
NAMA_SUM,internal,390,0.30167781461612997,0.19820326273969538,0.3871463301662223,3452.4539443746908,2544.992806200454,0.5498497883043453,3.4040690955925603e-32
NAMA_SUM,external,428,0.3091049513087717,0.21148132459117377,0.3906231686446,3347.361503392081,2642.179439285945,0.5875587879871034,4.4014295193835353e-41
LAMA_SUM,internal,390,0.28695588565308106,0.204656745098017,0.3608176032352004,2123.091475355172,1393.900275466698,0.5361681952068296,2.081079142667338e-30
LAMA_SUM,external,428,0.12054161258741936,0.00018477441101884555,0.21802804321161742,2182.308484238671,1759.0204671799831,0.5355113716954879,3.9202495394171926e-33
VAT(내장지방)_SUM,internal,390,0.36880336463466157,0.28767484525314907,0.4391855384987861,4655.043353732164,3465.6025266404763,0.6074134266945707,1.0816936174116193e-40
VAT(내장지방)_SUM,external,428,0.4062825126002141,0.3301320556216042,0.4696001105445508,4605.650058997794,3673.1204948864324,0.6397844354606457,1.1936620875163254e-50
SAT(피하지방)_SUM,internal,390,0.3780191005784249,0.29153682985441787,0.46592279348516796,5715.9783922767265,3994.3400194621936,0.6148690200348288,6.35807549934395e-42
SAT(피하지방)_SUM,external,428,0.454982978571707,0.36200747332933403,0.5302692972568814,5183.642039993325,3921.0854602268614,0.6746374508058767,3.855888889263785e-58
TAMA_SUM,internal,390,0.3911687559239495,0.29187600287057364,0.47600076268126446,4156.222008674549,2902.20768540098,0.6255794459761641,9.475796702081451e-44
TAMA_SUM,external,428,0.4783778204239034,0.38932167998182565,0.5525666811345902,3064.505185442007,2326.964896617336,0.7039047127928901,2.8261653371467994e-65
Total Fat_SUM,internal,390,0.41934256651336566,0.3381804163444433,0.4986215236785647,9217.977382117619,6548.729659337906,0.6476027244775294,9.729843658502913e-48
Total Fat_SUM,external,428,0.47407588720337057,0.3840020202770316,0.5451519034012244,8768.820733217024,6796.307623732897,0.6892365068282494,1.3587965581168158e-61
