clinic_var,cohort,predictor,n_seg,segment,r,p_value,n
sex_M,internal,seg1_1,1,1,0.17639962093849235,4.53995225570398e-09,1090
age,internal,seg1_1,1,1,0.14355282191353747,1.948954887803158e-06,1090
height,internal,seg1_1,1,1,0.1868830924912533,5.043324259598009e-10,1090
weight,internal,seg1_1,1,1,0.535885489776329,4.7507006384780857e-82,1090
sex_M,external,seg1_1,1,1,0.08356631412677365,0.010960374564690997,926
age,external,seg1_1,1,1,0.07925637883115941,0.01585096215125165,926
height,external,seg1_1,1,1,0.08688331891063523,0.008161527718682445,926
weight,external,seg1_1,1,1,0.35773987687369935,2.4322026906608015e-29,926
sex_M,internal,seg2_1,2,1,-4.500696318743974e-05,0.9988157748825612,1090
sex_M,internal,seg2_2,2,2,0.32072982072830686,1.6901773819213013e-27,1090
age,internal,seg2_1,2,1,0.021470504986363145,0.47887062086653964,1090
age,internal,seg2_2,2,2,0.2412750960281515,6.681681903145084e-16,1090
height,internal,seg2_1,2,1,0.12287520661354115,4.751797897356948e-05,1090
height,internal,seg2_2,2,2,0.2270098284225147,3.3144330551705564e-14,1090
weight,internal,seg2_1,2,1,0.4043939139597326,3.8588175289533777e-44,1090
weight,internal,seg2_2,2,2,0.6031925554230004,5.52086838587008e-109,1090
sex_M,external,seg2_1,2,1,-0.014109463065490848,0.6680717895515593,926
sex_M,external,seg2_2,2,2,0.1770125125274485,5.889266898031633e-08,926
age,external,seg2_1,2,1,0.002303369349829723,0.9441956350870324,926
age,external,seg2_2,2,2,0.15177079675382832,3.4995764574800453e-06,926
height,external,seg2_1,2,1,0.062198782094038535,0.05849098967979595,926
height,external,seg2_2,2,2,0.10507703715038877,0.0013644411566215654,926
weight,external,seg2_1,2,1,0.29611185431054554,3.3907402802114806e-20,926
weight,external,seg2_2,2,2,0.3915525266028932,2.701030749019037e-35,926
sex_M,internal,seg4_1,4,1,-0.01597376087623806,0.5983293008789695,1090
sex_M,internal,seg4_2,4,2,0.016859399711611937,0.5781996186449814,1090
sex_M,internal,seg4_3,4,3,0.25476971890928607,1.3082065845221366e-17,1090
sex_M,internal,seg4_4,4,4,0.3806962984221366,6.450989394010461e-39,1090
age,internal,seg4_1,4,1,-0.06087374526122653,0.044503916001943894,1090
age,internal,seg4_2,4,2,0.10803333801660621,0.0003527714437616759,1090
age,internal,seg4_3,4,3,0.2551939857950449,1.1516004629361349e-17,1090
