feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
sat,internal,clinic4,age,,,0.02541641650977557,0.5019900549602896,700
sat,internal,clinic4,height,,,0.06089216247029512,0.10746995317417789,700
sat,internal,clinic4,weight,,,0.7064301356480307,7.250392673387058e-107,700
vat,internal,clinic4,age,,,0.4321048400795192,3.284020681943341e-33,700
vat,internal,clinic4,height,,,-0.096612664952256,0.010541311155639754,700
vat,internal,clinic4,weight,,,0.5434398645184619,4.908458867743847e-55,700
total_fat,internal,clinic4,age,,,0.17579255948832512,2.879854411250424e-06,700
total_fat,internal,clinic4,height,,,0.008564934377626104,0.8210411850305633,700
total_fat,internal,clinic4,weight,,,0.7060509582216683,1.0532986492458878e-106,700
vat_sat,internal,clinic4,age,,,0.5750688715487777,7.237780822197535e-63,700
vat_sat,internal,clinic4,height,,,-0.2062401807871031,3.6676213285609976e-08,700
vat_sat,internal,clinic4,weight,,,0.16531829258442263,1.1007169852209388e-05,700
vat_total_fat,internal,clinic4,age,,,0.5845229550908637,2.23548390095027e-65,700
vat_total_fat,internal,clinic4,height,,,-0.2144546366201022,1.0007663323098702e-08,700
vat_total_fat,internal,clinic4,weight,,,0.17760166708027286,2.2658793264330087e-06,700
vat_tama,internal,clinic4,age,,,0.5489899816975747,2.3812797157057145e-56,700
vat_tama,internal,clinic4,height,,,-0.24631913550319,3.9109233885839225e-11,700
vat_tama,internal,clinic4,weight,,,0.3552387275321551,3.012232088553629e-22,700
sat_total_fat,internal,clinic4,age,,,-0.5845229550908637,2.23548390095027e-65,700
sat_total_fat,internal,clinic4,height,,,0.21445463662010217,1.0007663323098702e-08,700
sat_total_fat,internal,clinic4,weight,,,-0.1776016670802729,2.2658793264330087e-06,700
sat_tama,internal,clinic4,age,,,0.16299179536114344,1.4664882499052163e-05,700
sat_tama,internal,clinic4,height,,,-0.17004982780540345,6.0669000725929575e-06,700
sat_tama,internal,clinic4,weight,,,0.46459692642700623,9.032302376983987e-39,700
total_fat_tama,internal,clinic4,age,,,0.34143246392308757,1.4288861762213738e-20,700
total_fat_tama,internal,clinic4,height,,,-0.22119939288252388,3.311620586246072e-09,700
total_fat_tama,internal,clinic4,weight,,,0.4729275288532195,2.6976305027318427e-40,700
sat,external,clinic4,age,,,0.041508921536244935,0.3552884079434483,498
sat,external,clinic4,height,,,0.07475658256035371,0.09563345655336479,498
sat,external,clinic4,weight,,,0.7086465193123628,3.77272180203758e-77,498
vat,external,clinic4,age,,,0.4041012647094665,5.504432639882365e-21,498
vat,external,clinic4,height,,,-0.13573475931363493,0.002401427913809208,498
vat,external,clinic4,weight,,,0.48364966372665685,1.4690740027415285e-30,498
