n_components,feature,r2_internal
1,SAT(피하지방)_SUM,0.5412917304823436
2,SAT(피하지방)_SUM,0.5435706866960726
3,SAT(피하지방)_SUM,0.5674216685948852
4,SAT(피하지방)_SUM,0.5740553147781987
5,SAT(피하지방)_SUM,0.5740149159271286
6,SAT(피하지방)_SUM,0.5788179245424249
7,SAT(피하지방)_SUM,0.582837519773036
8,SAT(피하지방)_SUM,0.5822964213030326
9,SAT(피하지방)_SUM,0.5817628862015611
10,SAT(피하지방)_SUM,0.5860024741225122
11,SAT(피하지방)_SUM,0.5845649963779762
12,SAT(피하지방)_SUM,0.587895423136652
13,SAT(피하지방)_SUM,0.5874430007802266
14,SAT(피하지방)_SUM,0.5869670244528158
15,SAT(피하지방)_SUM,0.5862581236664735
16,SAT(피하지방)_SUM,0.5860435755351392
17,SAT(피하지방)_SUM,0.5862933598889271
18,SAT(피하지방)_SUM,0.5874006738149977
19,SAT(피하지방)_SUM,0.5848126147991384
20,SAT(피하지방)_SUM,0.5845684939438732
1,VAT(내장지방)_SUM,0.5313923783646892
2,VAT(내장지방)_SUM,0.5928434604729519
3,VAT(내장지방)_SUM,0.6189158343141073
4,VAT(내장지방)_SUM,0.6176396554090673
5,VAT(내장지방)_SUM,0.6180012242833487
6,VAT(내장지방)_SUM,0.6275273722168542
7,VAT(내장지방)_SUM,0.6238775682637254
8,VAT(내장지방)_SUM,0.6268954590073077
9,VAT(내장지방)_SUM,0.6274274366126587
10,VAT(내장지방)_SUM,0.6268976572189873
11,VAT(내장지방)_SUM,0.6238719843205418
12,VAT(내장지방)_SUM,0.62687896590889
13,VAT(내장지방)_SUM,0.6252852354175614
14,VAT(내장지방)_SUM,0.6253746229315871
15,VAT(내장지방)_SUM,0.6252343825760969
16,VAT(내장지방)_SUM,0.6243003772561245
17,VAT(내장지방)_SUM,0.6257966525438741
18,VAT(내장지방)_SUM,0.6261195930318215
19,VAT(내장지방)_SUM,0.6235030291560755
20,VAT(내장지방)_SUM,0.6230239851264416
1,Total Fat_SUM,0.5186250148750624
2,Total Fat_SUM,0.5422233910826407
3,Total Fat_SUM,0.5763971788615811
4,Total Fat_SUM,0.5781512526908392
5,Total Fat_SUM,0.5786682304819093
6,Total Fat_SUM,0.5875709812093215
7,Total Fat_SUM,0.5886782969090111
8,Total Fat_SUM,0.5898922910331003
9,Total Fat_SUM,0.5897819418805108
10,Total Fat_SUM,0.5918693451070216
11,Total Fat_SUM,0.5892699524733858
12,Total Fat_SUM,0.5937758400547689
13,Total Fat_SUM,0.5931131252917705
14,Total Fat_SUM,0.5929339779806797
15,Total Fat_SUM,0.591884080342474
16,Total Fat_SUM,0.5911435779294696
17,Total Fat_SUM,0.5921495648354136
18,Total Fat_SUM,0.5933141882454971
19,Total Fat_SUM,0.5900201157110545
20,Total Fat_SUM,0.5898522489203676
1,VAT_SAT_ratio,0.5929752348120085
2,VAT_SAT_ratio,0.6397878590169205
3,VAT_SAT_ratio,0.6399617546823996
4,VAT_SAT_ratio,0.6449979154751284
5,VAT_SAT_ratio,0.6438538844053914
6,VAT_SAT_ratio,0.6467955949895707
7,VAT_SAT_ratio,0.643511952239286
8,VAT_SAT_ratio,0.6447146170250342
9,VAT_SAT_ratio,0.644246075784488
10,VAT_SAT_ratio,0.6446190870483364
11,VAT_SAT_ratio,0.6440863688617425
12,VAT_SAT_ratio,0.643254230094469
13,VAT_SAT_ratio,0.6409290223773906
14,VAT_SAT_ratio,0.6391974383559281
15,VAT_SAT_ratio,0.6426649861460005
16,VAT_SAT_ratio,0.6425279514696667
17,VAT_SAT_ratio,0.6428389407450762
18,VAT_SAT_ratio,0.6425525254241281
19,VAT_SAT_ratio,0.6415835949999116
20,VAT_SAT_ratio,0.641896734247084
1,VAT_TotalFat_ratio,0.6431438934484176
2,VAT_TotalFat_ratio,0.687742197164083
3,VAT_TotalFat_ratio,0.6869902813453423
4,VAT_TotalFat_ratio,0.6897205433816473
5,VAT_TotalFat_ratio,0.6903933613961108
6,VAT_TotalFat_ratio,0.6958102424293535
7,VAT_TotalFat_ratio,0.6938154943578299
8,VAT_TotalFat_ratio,0.6946518406476264
9,VAT_TotalFat_ratio,0.6946663088870291
10,VAT_TotalFat_ratio,0.6949569156472861
