feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
IMATA_SUM,clinic4,internal,700,0.3881011795099387,0.33122089918508496,0.44720892688702746,407.57460003107366,285.2384771161321,0.6230126226322005,1.677976748147189e-76
IMATA_SUM,clinic4,external,498,0.3122489905693785,0.23712686394941399,0.37955207412918446,508.77370556558503,354.10593679511845,0.6233289214705426,5.98913475452563e-55
IMATA_SUM,clinic4_aec_front50,internal,700,0.3857113054401001,0.32861835567403175,0.44334902165400847,408.36975006835553,287.6440433169647,0.6211221830226488,6.421064999234529e-76
IMATA_SUM,clinic4_aec_front50,external,498,0.29096183755158644,0.2136617734863922,0.35761273767645124,516.5874428260172,358.53499094740596,0.6333703252010308,3.3456036859323493e-57
IMATA_SUM,clinic4_aec_back50,internal,700,0.3936619071831998,0.3356511973632232,0.4524975430341092,405.71842389145843,286.1877902191972,0.6274861188307493,6.753931202426729e-78
IMATA_SUM,clinic4_aec_back50,external,498,0.26760327147196306,0.19150528623041427,0.3303088086989283,525.0277249442577,366.36078937756844,0.6549372559636089,2.472687139233129e-62
IMATA_SUM,clinic4_aec_full,internal,700,0.38867494643756006,0.3318959435835766,0.4458364024264051,407.3834673929177,287.61585451364516,0.6235048268194344,1.1813615080168528e-76
IMATA_SUM,clinic4_aec_full,external,498,0.27141539868061115,0.19328283637858465,0.3355025278449233,523.6595568359016,364.72246229792495,0.6451316741854445,5.991792250934505e-60
NAMA_SUM,clinic4,internal,700,0.3958457463267655,0.33463215973192484,0.4518212498891133,2230.9820648682003,1758.0562314752246,0.6292137398228612,1.9257909891925292e-78
NAMA_SUM,clinic4,external,498,0.01799836266764321,-0.15538602989724562,0.14917943461701966,2583.691256395393,2063.829530353255,0.5487787601507851,1.654070937713358e-40
NAMA_SUM,clinic4_aec_front50,internal,700,0.41295891929032635,0.3485900347852521,0.47219607451304946,2199.1578706979994,1704.2250371657042,0.6427064139740524,8.075926603790864e-83
NAMA_SUM,clinic4_aec_front50,external,498,-0.40919675566192604,-0.6612395435210633,-0.2155821400058924,3095.0689390509992,2523.228606977042,0.502758195648779,2.933265432835774e-33
NAMA_SUM,clinic4_aec_back50,internal,700,0.42256044041180296,0.36079220193622913,0.4802534026508239,2181.099242423937,1689.6637373289227,0.6501113817703752,2.5683771979189196e-85
NAMA_SUM,clinic4_aec_back50,external,498,-0.42866979026119334,-0.6858289374449222,-0.23104266755903322,3116.3802280813943,2536.5361905883615,0.4880982901127754,3.5780045954938426e-31
NAMA_SUM,clinic4_aec_full,internal,700,0.42005519227051247,0.3560068536089149,0.4791095475486148,2185.82552146817,1690.7810208451228,0.648194383190847,1.1558669608259578e-84
NAMA_SUM,clinic4_aec_full,external,498,-0.4894502288381728,-0.7601431551780301,-0.2832746903472353,3181.980451942819,2598.475684998133,0.4892609866390629,2.465092058444857e-31
LAMA_SUM,clinic4,internal,700,0.43569812212359327,0.3699769537236337,0.5005439604237515,1121.5779996154015,773.9891193062772,0.6601449087179966,8.163953976738888e-89
LAMA_SUM,clinic4,external,498,-0.35290923222653703,-0.5424037718346435,-0.20553913631622725,2077.687328376738,1723.7784387573474,0.5716664168708108,1.494167274231942e-44
LAMA_SUM,clinic4_aec_front50,internal,700,0.43435534331207126,0.36862927315925853,0.50033844388178,1122.9116265103407,775.1161227722193,0.6591420743551895,1.8516446114716802e-88
LAMA_SUM,clinic4_aec_front50,external,498,-0.299111206078686,-0.48189994966558913,-0.1561877503434536,2035.9589878052386,1679.232950112038,0.5661631044058988,1.4988236425742584e-43
LAMA_SUM,clinic4_aec_back50,internal,700,0.44044106106322534,0.37756974532161514,0.5036446781109396,1116.8546404388967,773.4837956246876,0.6637578586883812,4.160183782145262e-90
LAMA_SUM,clinic4_aec_back50,external,498,-0.5149779109194239,-0.7256067759776575,-0.35118000375853303,2198.614111986255,1851.4556602435664,0.5954023351727094,4.2776740879847645e-49
LAMA_SUM,clinic4_aec_full,internal,700,0.43348979469508286,0.36829757700186755,0.49775297568371607,1123.7704369532726,776.6069507239214,0.6584973621013234,3.12956513196495e-88
LAMA_SUM,clinic4_aec_full,external,498,-0.4207174942926575,-0.6185886002543122,-0.26456753565455154,2129.1179677298232,1778.4848862993938,0.5797068152636486,4.753548067992058e-46
TAMA_SUM,clinic4,internal,700,0.4579446990331967,0.39834634845817657,0.5113114274957314,2356.0800565255704,1853.9930397076746,0.6767552069918912,6.533010393056304e-95
TAMA_SUM,clinic4,external,498,0.388263778856899,0.28508686059880267,0.4774648108380402,2223.3715416782093,1710.6807733314497,0.6620933438099692,3.945352457571634e-64
