feature,model,cohort,n,n_pos,prevalence,auc
HTN,clinic4,internal,1079,324,0.3002780352177943,0.8064630856021584
HTN,clinic4,external,922,424,0.4598698481561822,0.7134694438129878
HTN,clinic5_aec_shape_no_fpca,internal,1079,324,0.3002780352177943,0.8155302101218216
HTN,clinic5_aec_shape_no_fpca,external,922,424,0.4598698481561822,0.7339357429718875
HTN,clinic5_aec_fpca,internal,1079,324,0.3002780352177943,0.8179257624069987
HTN,clinic5_aec_fpca,external,922,424,0.4598698481561822,0.7366873152989315
HTN,clinic5_aec_shape_all,internal,1079,324,0.3002780352177943,0.8149374540103018
HTN,clinic5_aec_shape_all,external,922,424,0.4598698481561822,0.7356596196105175
DM,clinic4,internal,1079,202,0.1872103799814643,0.7295516894904999
DM,clinic4,external,922,285,0.3091106290672451,0.6624996557327384
DM,clinic5_aec_shape_no_fpca,internal,1079,202,0.1872103799814643,0.7411122526163677
DM,clinic5_aec_shape_no_fpca,external,922,285,0.3091106290672451,0.6960202704563607
DM,clinic5_aec_fpca,internal,1079,202,0.1872103799814643,0.7497149372862029
DM,clinic5_aec_fpca,external,922,285,0.3091106290672451,0.7032140791539289
DM,clinic5_aec_shape_all,internal,1079,202,0.1872103799814643,0.7462603158833556
DM,clinic5_aec_shape_all,external,922,285,0.3091106290672451,0.7006637472802886
CKD,clinic4,internal,1079,83,0.07692307692307693,0.7935234915565877
CKD,clinic4,external,922,168,0.1822125813449024,0.6213646267525579
CKD,clinic5_aec_shape_no_fpca,internal,1079,83,0.07692307692307693,0.810724827018919
CKD,clinic5_aec_shape_no_fpca,external,922,168,0.1822125813449024,0.6490700391562461
CKD,clinic5_aec_fpca,internal,1079,83,0.07692307692307693,0.8167126336671989
CKD,clinic5_aec_fpca,external,922,168,0.1822125813449024,0.6339522546419099
CKD,clinic5_aec_shape_all,internal,1079,83,0.07692307692307693,0.8211762713504622
CKD,clinic5_aec_shape_all,external,922,168,0.1822125813449024,0.6351443097132752
