feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
IMATA_SUM,clinic4,internal,390,0.262615279250762,0.18172101499230744,0.34527112871888754,546.8981458629021,384.63451072325205,0.5125917624170735,1.6279225222213744e-27
IMATA_SUM,clinic4,external,428,0.24775039544729605,0.12303715316828828,0.34631891594159686,549.9005127174536,389.14028476975443,0.510680339929767,8.375248668376092e-30
IMATA_SUM,clinic4_aec_sd,internal,390,0.25840231543926095,0.1774127139157682,0.3424275711276671,548.458240885927,384.63542294178205,0.5085899253217142,4.794039676623907e-27
IMATA_SUM,clinic4_aec_sd,external,428,0.24838491334100554,0.12530892613401393,0.34560766035732016,549.668544948815,390.20325244019676,0.5097093207081335,1.116139710830127e-29
IMATA_SUM,clinic4_aec_skew,internal,390,0.2648916313140658,0.1847152522808202,0.348521458737894,546.0533392310425,381.83157045850965,0.5148376285267069,8.823866227521813e-28
IMATA_SUM,clinic4_aec_skew,external,428,0.24246140849486975,0.12293036059838351,0.33603637278000725,551.830272680354,387.783514009237,0.5131044519808784,4.072711993743023e-30
IMATA_SUM,clinic4_aec_uplow_ratio,internal,390,0.2946977888051402,0.21770074080109297,0.3722789037649046,534.8684812131643,375.49675274460975,0.5429804879199727,2.7485291003160035e-31
IMATA_SUM,clinic4_aec_uplow_ratio,external,428,0.27923082787978903,0.1763563243252463,0.36570345372569424,538.2713220874701,388.9379639884742,0.5417315816011998,5.190380806765924e-34
IMATA_SUM,clinic4_aec_shape_all,internal,390,0.29575277913228515,0.214391301412925,0.372362116133582,534.4683036469081,374.2033300016779,0.54445596463897,1.7620613390177644e-31
IMATA_SUM,clinic4_aec_shape_all,external,428,0.24406054482805628,0.14036178506342026,0.3305709567289062,551.2475181865235,390.99924718154836,0.5512099957913547,2.1948331246379954e-35
NAMA_SUM,clinic4,internal,390,0.30167781461612997,0.19820326273969538,0.3871463301662223,3452.4539443746908,2544.992806200454,0.5498497883043453,3.4040690955925603e-32
NAMA_SUM,clinic4,external,428,0.3091049513087717,0.21148132459117377,0.3906231686446,3347.361503392081,2642.179439285945,0.5875587879871034,4.4014295193835353e-41
NAMA_SUM,clinic4_aec_sd,internal,390,0.30683734876072766,0.20418220651729446,0.3896246114215584,3439.6761182427663,2542.9148154020895,0.5545334108215607,7.968786709686063e-33
NAMA_SUM,clinic4_aec_sd,external,428,0.2674510004335746,0.16212680009979427,0.3540376564689472,3446.7907344070927,2733.6584107831923,0.5701398122066336,2.9005412584206286e-38
NAMA_SUM,clinic4_aec_skew,internal,390,0.30308774828400775,0.20041864471968632,0.38805035066338084,3448.966878760427,2546.3173837259637,0.5512755971314672,2.193204161305625e-32
