exp,feature,model,base_r2_ext,new_r2_ext,delta_ext,ci_lo,ci_hi,significant
segsel,IMATA_SUM,top8,0.2824834577893071,0.2913048507119847,0.0088213929226775,-0.0262938095067025,0.0459825639830055,False
segsel,NAMA_SUM,top3,0.5678002838802443,0.4361410170743683,-0.1316592668058759,-0.1576772238038708,-0.1085833766853683,True
segsel,LAMA_SUM,top8,-0.0354460947935169,0.0038893558097821,0.039335450603299,0.0040620657724485,0.0757964399477719,True
segsel,TAMA_SUM,top6,0.7110267056575033,0.6762286196073356,-0.0347980860501676,-0.045609295142212,-0.0247645993883143,True
segsel,SAT(피하지방)_SUM,top7,0.5645541761064046,0.5569713902130025,-0.0075827858934021,-0.0293201121946498,0.0142298274253002,False
segsel,VAT(내장지방)_SUM,top8,0.4183365817975659,0.5086787395065383,0.0903421577089723,0.0577187757073559,0.1249788891482833,True
segsel,Total Fat_SUM,top8,0.4922693479577946,0.5243956384768428,0.0321262905190481,0.004104427844314,0.0616501240161855,True
backhalf,IMATA_SUM,clinic4_aec_back50,0.2824834577893071,0.1890185504235795,-0.0934649073657276,-0.1257107593177097,-0.0634465168916584,True
backhalf,NAMA_SUM,clinic4_aec_back50,0.5678002838802443,0.386881421346101,-0.1809188625341432,-0.2125348874057443,-0.1523744317121224,True
backhalf,LAMA_SUM,clinic4_aec_back50,-0.0354460947935169,-0.2538470578430023,-0.2184009630494854,-0.252014202829542,-0.188513121035554,True
backhalf,TAMA_SUM,clinic4_aec_front50,0.7110267056575033,0.6716159675074946,-0.0394107381500086,-0.0519707519803632,-0.0284633233829774,True
backhalf,SAT(피하지방)_SUM,clinic4_aec_back50,0.5645541761064046,0.5437889068580388,-0.0207652692483657,-0.0374583203576119,-0.0040565184149991,True
backhalf,VAT(내장지방)_SUM,clinic4_aec_back50,0.4183365817975659,0.3555977878449451,-0.0627387939526208,-0.0912170322821335,-0.0335596081537467,True
backhalf,Total Fat_SUM,clinic4_aec_back50,0.4922693479577946,0.4463705456161746,-0.04589880234162,-0.0709072277003743,-0.0212063971722627,True
