exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
segsel,IMATA_SUM,top1,internal,0.333,"[0.284,0.382]",0.376,"[0.330,0.421]",0.043,up,True,False
segsel,IMATA_SUM,top1,external,0.282,"[0.212,0.344]",0.167,"[0.102,0.229]",-0.115,down,True,False
segsel,IMATA_SUM,top2,internal,0.333,"[0.284,0.382]",0.375,"[0.330,0.420]",0.042,up,True,False
segsel,IMATA_SUM,top2,external,0.282,"[0.212,0.344]",0.167,"[0.101,0.229]",-0.115,down,True,False
segsel,IMATA_SUM,top3,internal,0.333,"[0.284,0.382]",0.379,"[0.333,0.428]",0.046,up,True,False
segsel,IMATA_SUM,top3,external,0.282,"[0.212,0.344]",0.202,"[0.136,0.263]",-0.081,down,True,False
segsel,IMATA_SUM,top4,internal,0.333,"[0.284,0.382]",0.381,"[0.333,0.429]",0.048,up,True,False
segsel,IMATA_SUM,top4,external,0.282,"[0.212,0.344]",0.223,"[0.159,0.282]",-0.06,down,True,False
segsel,IMATA_SUM,top5,internal,0.333,"[0.284,0.382]",0.382,"[0.336,0.429]",0.049,up,True,False
segsel,IMATA_SUM,top5,external,0.282,"[0.212,0.344]",0.242,"[0.179,0.300]",-0.04,down,True,False
segsel,IMATA_SUM,top6,internal,0.333,"[0.284,0.382]",0.388,"[0.340,0.435]",0.055,up,True,False
segsel,IMATA_SUM,top6,external,0.282,"[0.212,0.344]",0.265,"[0.204,0.321]",-0.017,down,True,False
segsel,IMATA_SUM,top7,internal,0.333,"[0.284,0.382]",0.385,"[0.335,0.434]",0.052,up,True,False
segsel,IMATA_SUM,top7,external,0.282,"[0.212,0.344]",0.267,"[0.207,0.322]",-0.016,down,True,False
segsel,IMATA_SUM,top8,internal,0.333,"[0.284,0.382]",0.39,"[0.341,0.438]",0.057,up,True,False
segsel,IMATA_SUM,top8,external,0.282,"[0.212,0.344]",0.291,"[0.231,0.346]",0.009,up,True,False
segsel,NAMA_SUM,top1,internal,0.591,"[0.535,0.636]",0.608,"[0.554,0.653]",0.017,up,True,False
segsel,NAMA_SUM,top1,external,0.568,"[0.511,0.614]",0.409,"[0.333,0.475]",-0.159,down,False,True
segsel,NAMA_SUM,top2,internal,0.591,"[0.535,0.636]",0.615,"[0.563,0.659]",0.024,up,True,False
segsel,NAMA_SUM,top2,external,0.568,"[0.511,0.614]",0.417,"[0.343,0.480]",-0.151,down,False,True
segsel,NAMA_SUM,top3,internal,0.591,"[0.535,0.636]",0.623,"[0.573,0.666]",0.032,up,True,False
segsel,NAMA_SUM,top3,external,0.568,"[0.511,0.614]",0.436,"[0.367,0.498]",-0.132,down,False,True
segsel,NAMA_SUM,top4,internal,0.591,"[0.535,0.636]",0.619,"[0.568,0.663]",0.028,up,True,False
segsel,NAMA_SUM,top4,external,0.568,"[0.511,0.614]",0.434,"[0.364,0.496]",-0.133,down,False,True
segsel,NAMA_SUM,top5,internal,0.591,"[0.535,0.636]",0.616,"[0.563,0.660]",0.024,up,True,False
segsel,NAMA_SUM,top5,external,0.568,"[0.511,0.614]",0.427,"[0.357,0.490]",-0.141,down,False,True
segsel,NAMA_SUM,top6,internal,0.591,"[0.535,0.636]",0.615,"[0.562,0.658]",0.023,up,True,False
segsel,NAMA_SUM,top6,external,0.568,"[0.511,0.614]",0.43,"[0.359,0.492]",-0.138,down,False,True
segsel,NAMA_SUM,top7,internal,0.591,"[0.535,0.636]",0.612,"[0.559,0.657]",0.021,up,True,False
segsel,NAMA_SUM,top7,external,0.568,"[0.511,0.614]",0.426,"[0.356,0.488]",-0.142,down,False,True
segsel,NAMA_SUM,top8,internal,0.591,"[0.535,0.636]",0.612,"[0.558,0.657]",0.02,up,True,False
segsel,NAMA_SUM,top8,external,0.568,"[0.511,0.614]",0.425,"[0.354,0.487]",-0.143,down,False,True
segsel,LAMA_SUM,top1,internal,0.419,"[0.373,0.468]",0.438,"[0.393,0.486]",0.018,up,True,False
segsel,LAMA_SUM,top1,external,-0.035,"[-0.130,0.045]",-0.249,"[-0.358,-0.153]",-0.214,down,False,True
