feature,model,cohort,n,n_pos,prevalence,auc,threshold,sensitivity,specificity,accuracy,aec_combo
HTN,clinic4,internal,1079,324,0.3002780352177943,0.8064630856021584,0.2824514185815552,0.7962962962962963,0.7072847682119205,0.7340129749768304,
HTN,clinic4,external,922,424,0.4598698481561822,0.7134694438129878,0.2824514185815552,0.7334905660377359,0.6004016064257028,0.6616052060737527,
HTN,clinic4_aec_best,internal,1079,324,0.3002780352177943,0.8176436922573787,0.3151106589591885,0.7530864197530864,0.7390728476821192,0.7432808155699722,aec_fpca
HTN,clinic4_aec_best,external,922,424,0.4598698481561822,0.730966318102599,0.3151106589591885,0.6132075471698113,0.7248995983935743,0.6735357917570499,aec_fpca
HTN,clinic5_aec_best,internal,1079,324,0.3002780352177943,0.8179257624069987,0.269639969201049,0.7932098765432098,0.7006622516556291,0.7284522706209453,aec_fpca
HTN,clinic5_aec_best,external,922,424,0.4598698481561822,0.7366873152989315,0.269639969201049,0.6792452830188679,0.6847389558232931,0.6822125813449024,aec_fpca
DM,clinic4,internal,1079,202,0.1872103799814643,0.7295516894904999,0.18487120576866733,0.7178217821782178,0.6465222348916762,0.659870250231696,
DM,clinic4,external,922,285,0.3091106290672451,0.6624996557327384,0.18487120576866733,0.6666666666666666,0.5604395604395604,0.5932754880694143,
DM,clinic4_aec_best,internal,1079,202,0.1872103799814643,0.7509342154283843,0.1496961660933262,0.8316831683168316,0.5815279361459521,0.6283595922150139,aec_fpca
DM,clinic4_aec_best,external,922,285,0.3091106290672451,0.7013963480128893,0.1496961660933262,0.8280701754385965,0.4725274725274725,0.5824295010845987,aec_fpca
DM,clinic5_aec_best,internal,1079,202,0.1872103799814643,0.7497149372862029,0.17418722372341083,0.7673267326732673,0.6465222348916762,0.6691380908248378,aec_fpca
DM,clinic5_aec_best,external,922,285,0.3091106290672451,0.7032140791539289,0.17418722372341083,0.7543859649122807,0.5714285714285714,0.6279826464208242,aec_fpca
CKD,clinic4,internal,1079,83,0.07692307692307693,0.7935234915565877,0.05391759830994716,0.8554216867469879,0.6114457831325302,0.6302131603336423,
CKD,clinic4,external,922,168,0.1822125813449024,0.6213646267525579,0.05391759830994716,0.6904761904761905,0.5013262599469496,0.5357917570498916,
CKD,clinic4_aec_best,internal,1079,83,0.07692307692307693,0.812926404412832,0.07685351480427163,0.8313253012048193,0.7198795180722891,0.7284522706209453,aec_shape_all
CKD,clinic4_aec_best,external,922,168,0.1822125813449024,0.6413651004168246,0.07685351480427163,0.5178571428571429,0.6604774535809018,0.6344902386117137,aec_shape_all
CKD,clinic5_aec_best,internal,1079,83,0.07692307692307693,0.8211762713504622,0.0809079747633283,0.8072289156626506,0.7359437751004017,0.7414272474513438,aec_shape_all
CKD,clinic5_aec_best,external,922,168,0.1822125813449024,0.6351443097132752,0.0809079747633283,0.48214285714285715,0.6790450928381963,0.6431670281995662,aec_shape_all
