feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy
SAT(피하지방)_SUM,clinic4,internal,390,44,0.11282051282051282,0.7267472411981082,0.6322832741576163,0.8179507545680504,0.20189573822241186,0.5,0.8988439306358381,0.8538461538461538
SAT(피하지방)_SUM,clinic4,external,428,50,0.11682242990654206,0.8593121693121692,0.7954636666071335,0.9132801354440606,0.20189573822241186,0.46,0.9312169312169312,0.8761682242990654
SAT(피하지방)_SUM,clinic4_aec_best,internal,390,44,0.11282051282051282,0.7147924330005255,0.6103450209330143,0.811618827225468,0.2278670322273485,0.5227272727272727,0.9161849710982659,0.8717948717948718
SAT(피하지방)_SUM,clinic4_aec_best,external,428,50,0.11682242990654206,0.8482010582010583,0.7856429330425112,0.9048995325391548,0.2278670322273485,0.14,0.9920634920634921,0.8925233644859814
VAT(내장지방)_SUM,clinic4,internal,390,53,0.1358974358974359,0.7828229102513857,0.7091103989257075,0.8474949525922715,0.13313029725286954,0.7547169811320755,0.7032640949554896,0.7102564102564103
VAT(내장지방)_SUM,clinic4,external,428,71,0.1658878504672897,0.8215567917307769,0.7686752116981158,0.8710020807727711,0.13313029725286954,0.7183098591549296,0.7478991596638656,0.7429906542056075
VAT(내장지방)_SUM,clinic4_aec_best,internal,390,53,0.1358974358974359,0.882033480768154,0.8373039706423966,0.9199307303084985,0.2568659115554898,0.7547169811320755,0.8902077151335311,0.8717948717948718
VAT(내장지방)_SUM,clinic4_aec_best,external,428,71,0.1658878504672897,0.8522113070580345,0.800591481271395,0.8992844296974931,0.2568659115554898,0.5915492957746479,0.9131652661064426,0.8598130841121495
Total Fat_SUM,clinic4,internal,390,44,0.11282051282051282,0.7682606410930111,0.677626651681311,0.849150416317357,0.23492204158630484,0.5227272727272727,0.930635838150289,0.8846153846153846
Total Fat_SUM,clinic4,external,428,59,0.1378504672897196,0.8746956961095035,0.8219090840577676,0.9207904272080176,0.23492204158630484,0.4576271186440678,0.959349593495935,0.8901869158878505
Total Fat_SUM,clinic4_aec_best,internal,390,44,0.11282051282051282,0.8351944298476092,0.7660532463945886,0.8973352580669283,0.06139202157884369,0.8863636363636364,0.6329479768786127,0.6615384615384615
Total Fat_SUM,clinic4_aec_best,external,428,59,0.1378504672897196,0.8509485094850949,0.7771159046846713,0.9145487713910009,0.06139202157884369,0.7966101694915254,0.7479674796747967,0.7546728971962616
VAT_TotalFat_ratio,clinic4,internal,390,61,0.1564102564102564,0.6241466939060242,0.5561207828003105,0.6942439103892922,0.12029386213268954,0.8688524590163934,0.364741641337386,0.44358974358974357
VAT_TotalFat_ratio,clinic4,external,428,73,0.1705607476635514,0.6894076789504149,0.6263176574351957,0.7512161553446798,0.12029386213268954,0.8493150684931506,0.35774647887323946,0.441588785046729
VAT_TotalFat_ratio,clinic4_aec_best,internal,390,61,0.1564102564102564,0.8048233594100355,0.7423432842990572,0.8626233329590536,0.22222317965184402,0.6885245901639344,0.8328267477203647,0.8102564102564103
VAT_TotalFat_ratio,clinic4_aec_best,external,428,73,0.1705607476635514,0.7041867644221493,0.6409031910820823,0.7666478656286896,0.22222317965184402,0.5616438356164384,0.6676056338028169,0.6495327102803738
VAT_SAT_ratio,clinic4,internal,390,61,0.1564102564102564,0.6241466939060242,0.5561207828003105,0.6942439103892922,0.12029386213268954,0.8688524590163934,0.364741641337386,0.44358974358974357
VAT_SAT_ratio,clinic4,external,428,67,0.15654205607476634,0.6957456484888577,0.6287582073599023,0.7597341349114233,0.12029386213268954,0.8507462686567164,0.3545706371191136,0.4322429906542056
VAT_SAT_ratio,clinic4_aec_best,internal,390,61,0.1564102564102564,0.8048233594100355,0.7423432842990572,0.8626233329590536,0.22222317965184402,0.6885245901639344,0.8328267477203647,0.8102564102564103
VAT_SAT_ratio,clinic4_aec_best,external,428,67,0.15654205607476634,0.7007483358829123,0.6334767947766389,0.7683529745269025,0.22222317965184402,0.5671641791044776,0.6648199445983379,0.6495327102803738
VAT_TAMA_ratio,clinic4,internal,390,45,0.11538461538461539,0.7172302737520128,0.6324832418026615,0.7923025068976449,0.12893020503647734,0.6222222222222222,0.7217391304347827,0.7102564102564103
VAT_TAMA_ratio,clinic4,external,428,74,0.17289719626168223,0.7830584822110246,0.7245284235792065,0.8380731974663843,0.12893020503647734,0.7162162162162162,0.6949152542372882,0.6985981308411215
VAT_TAMA_ratio,clinic4_aec_best,internal,390,45,0.11538461538461539,0.8398067632850242,0.7744232670136482,0.8960096818004931,0.08389811519297823,0.8888888888888888,0.6579710144927536,0.6846153846153846
VAT_TAMA_ratio,clinic4_aec_best,external,428,74,0.17289719626168223,0.7998549396854482,0.7403214592693653,0.8581878234767153,0.08389811519297823,0.7297297297297297,0.7372881355932204,0.735981308411215
TotalFat_TAMA_ratio,clinic4,internal,390,17,0.04358974358974359,0.7747989276139409,0.6424716959663196,0.8879864407371214,0.032990900971515066,0.9411764705882353,0.5495978552278821,0.5666666666666667
TotalFat_TAMA_ratio,clinic4,external,428,27,0.0630841121495327,0.7441581232104922,0.6243826160228156,0.8539025537634409,0.032990900971515066,0.8148148148148148,0.5660847880299252,0.5817757009345794
TotalFat_TAMA_ratio,clinic4_aec_best,internal,390,17,0.04358974358974359,0.7686484781580193,0.6104214669738862,0.9014500977335537,0.06619647368777584,0.6470588235294118,0.8605898123324397,0.8512820512820513
TotalFat_TAMA_ratio,clinic4_aec_best,external,428,27,0.0630841121495327,0.733536529047751,0.6229350073077126,0.8307909347253647,0.06619647368777584,0.18518518518518517,0.9625935162094763,0.9135514018691588
SAT_TotalFat_ratio,clinic4,internal,390,65,0.16666666666666666,0.7259644970414203,0.6535265771700743,0.7944665853988894,0.18945521675177215,0.6615384615384615,0.7446153846153846,0.7307692307692307
SAT_TotalFat_ratio,clinic4,external,428,67,0.15654205607476634,0.729110679290528,0.6604106669177917,0.7916896600498986,0.18945521675177215,0.6417910447761194,0.7257617728531855,0.7126168224299065
SAT_TotalFat_ratio,clinic4_aec_best,internal,390,65,0.16666666666666666,0.7815384615384615,0.7198415113981852,0.8384095673390723,0.1361071328178997,0.7692307692307693,0.6892307692307692,0.7025641025641025
SAT_TotalFat_ratio,clinic4_aec_best,external,428,67,0.15654205607476634,0.7637987348575681,0.7016105686123064,0.8219452831866486,0.1361071328178997,0.8059701492537313,0.5983379501385041,0.6308411214953271
SAT_TAMA_ratio,clinic4,internal,390,8,0.020512820512820513,0.40739528795811514,0.1570474562712264,0.6505317408376964,0.017989423082261667,0.5,0.5471204188481675,0.5461538461538461
SAT_TAMA_ratio,clinic4,external,428,15,0.035046728971962614,0.6958837772397094,0.5384758469151422,0.8477646531100479,0.017989423082261667,0.7333333333333333,0.585956416464891,0.5911214953271028
SAT_TAMA_ratio,clinic4_aec_best,internal,390,8,0.020512820512820513,0.556282722513089,0.2600869593449256,0.8446457946011958,0.025650442718845704,0.5,0.8324607329842932,0.8256410256410256
SAT_TAMA_ratio,clinic4_aec_best,external,428,15,0.035046728971962614,0.4981436642453592,0.32159559825047607,0.6666809789609276,0.025650442718845704,0.0,0.9588377723970944,0.9252336448598131
