feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
SAT(피하지방)_SUM,internal,0.8406,0.8018,0.8748,0.8497,0.8141,0.8831,0.0091,0.9285,0.3531
SAT(피하지방)_SUM,external,0.8731,0.8383,0.9042,0.886,0.8534,0.9152,0.0128,1.6555,0.0978
VAT(내장지방)_SUM,internal,0.8472,0.8154,0.8761,0.8943,0.871,0.9164,0.0471,4.4536,0.0
VAT(내장지방)_SUM,external,0.8129,0.7762,0.8475,0.86,0.8299,0.8886,0.0472,3.5164,0.0004
Total Fat_SUM,internal,0.8522,0.8155,0.8846,0.8706,0.838,0.9002,0.0184,2.0112,0.0443
Total Fat_SUM,external,0.8673,0.8336,0.8987,0.8893,0.8593,0.9164,0.0219,2.6406,0.0083
VAT_TotalFat_ratio,internal,0.7568,0.7213,0.7926,0.8302,0.7977,0.8617,0.0733,5.149,0.0
VAT_TotalFat_ratio,external,0.7075,0.6671,0.7462,0.7866,0.7521,0.8216,0.0791,4.7005,0.0
VAT_SAT_ratio,internal,0.7627,0.7267,0.798,0.8441,0.8111,0.8759,0.0814,5.4428,0.0
VAT_SAT_ratio,external,0.71,0.6681,0.7505,0.7837,0.7467,0.8205,0.0737,4.0651,0.0
VAT_TAMA_ratio,internal,0.842,0.8106,0.8701,0.8902,0.8642,0.9142,0.0482,4.5804,0.0
VAT_TAMA_ratio,external,0.803,0.7676,0.8371,0.8492,0.8185,0.8783,0.0462,3.0842,0.002
TotalFat_TAMA_ratio,internal,0.8214,0.7818,0.8582,0.8477,0.8121,0.8812,0.0264,2.2981,0.0216
TotalFat_TAMA_ratio,external,0.8189,0.7799,0.8566,0.8562,0.8242,0.8871,0.0373,3.1004,0.0019
SAT_TotalFat_ratio,internal,0.7746,0.7346,0.8107,0.8111,0.7768,0.8421,0.0365,3.0441,0.0023
SAT_TotalFat_ratio,external,0.7589,0.7127,0.7997,0.7958,0.7564,0.8318,0.0369,2.52,0.0117
SAT_TAMA_ratio,internal,0.8186,0.7775,0.8557,0.8452,0.8086,0.8786,0.0266,2.1712,0.0299
SAT_TAMA_ratio,external,0.8184,0.7765,0.8577,0.8385,0.8018,0.8734,0.0201,1.9491,0.0513
