feature,cohort,auc_clinic4,auc_clinic4_aec_mean,auc_diff,z,p_value
TAMA_SUM,internal,0.8699785731902824,0.866105561721544,0.0038730114687384187,0.6556251916893684,0.5120653125994893
TAMA_SUM,external,0.8779661016949152,0.8548305084745762,0.02313559322033898,3.103712680763693,0.001911088227617082
NAMA_SUM,internal,0.8376595744680851,0.8382765957446808,-0.0006170212765956862,-0.08946905835602464,0.9287091427985708
NAMA_SUM,external,0.7678791683185763,0.7617340645786529,0.006145103739923385,1.015375216099641,0.3099270024763814
LAMA_SUM,internal,0.8159404416326468,0.8350502830094745,-0.019109841376827696,-1.6358134431460727,0.10187863764648884
LAMA_SUM,external,0.78406822853673,0.8116498185781906,-0.027581590041460657,-3.316822356943924,0.0009104748686083567
IMATA_SUM,internal,0.8228212343693799,0.8402555910543131,-0.017434356684933205,-1.8053061762167701,0.07102678370361648
IMATA_SUM,external,0.8314125295508275,0.8589921005593034,-0.027579571008475967,-2.928583620024968,0.003405102279306771
SAT(피하지방)_SUM,internal,0.8405993573191025,0.8601164859126642,-0.019517128593561694,-2.042121137016631,0.041139516698211635
SAT(피하지방)_SUM,external,0.8731423020883925,0.897055057618438,-0.02391275553004546,-3.0047720385095404,0.0026577996506547195
VAT(내장지방)_SUM,internal,0.8472203112203113,0.891970515970516,-0.04475020475020475,-4.196239674118439,2.7138306285930378e-05
VAT(내장지방)_SUM,external,0.8128780076448267,0.8694435036254173,-0.056565495980590685,-4.574011995874162,4.784724262950881e-06
Total Fat_SUM,internal,0.8522265686334747,0.8732668400679952,-0.021040271434520474,-2.1770567868243873,0.029476330731901076
Total Fat_SUM,external,0.8673289925195219,0.89691479133609,-0.029585798816568087,-3.176124845272434,0.0014925670212623146
