feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
CKD,clinic4,external,Revolution EVO,149,39,0.5778554778554779,0.5897435897435898,0.509090909090909,0.5302013422818792
CKD,clinic4,external,LightSpeed VCT,50,4,0.7934782608695652,0.75,0.6739130434782609,0.68
CKD,clinic4,external,SOMATOM Definition Flash,228,44,0.6506916996047432,0.7954545454545454,0.483695652173913,0.543859649122807
CKD,clinic4,external,Sensation 64,48,10,0.6263157894736842,0.8,0.3684210526315789,0.4583333333333333
CKD,clinic4,external,SOMATOM Force,123,24,0.5909090909090908,0.625,0.48484848484848486,0.5121951219512195
CKD,clinic4,external,SOMATOM Definition AS+,165,18,0.5540438397581255,0.6111111111111112,0.4489795918367347,0.4666666666666667
CKD,clinic4,external,iCT 256,135,20,0.6586956521739131,0.65,0.5478260869565217,0.562962962962963
CKD,clinic4,internal,Revolution CT,317,15,0.909271523178808,0.9333333333333333,0.7516556291390728,0.7602523659305994
CKD,clinic4,internal,Sensation 64,380,23,0.8491048593350383,0.9565217391304348,0.6582633053221288,0.6763157894736842
CKD,clinic4,internal,SOMATOM Definition AS+,180,31,0.6378003896947392,0.7741935483870968,0.3825503355704698,0.45
CKD,clinic4,internal,Ingenuity Core 128,202,14,0.7013677811550152,0.7857142857142857,0.4787234042553192,0.5
CKD,clinic4_aec_best,external,Revolution EVO,149,39,0.5846153846153846,0.48717948717948717,0.5818181818181818,0.5570469798657718
CKD,clinic4_aec_best,external,LightSpeed VCT,50,4,0.75,0.75,0.6739130434782609,0.68
CKD,clinic4_aec_best,external,SOMATOM Definition Flash,228,44,0.6552618577075099,0.5227272727272727,0.657608695652174,0.631578947368421
CKD,clinic4_aec_best,external,Sensation 64,48,10,0.5815789473684211,0.7,0.5263157894736842,0.5625
CKD,clinic4_aec_best,external,SOMATOM Force,123,24,0.6052188552188552,0.4583333333333333,0.6767676767676768,0.6341463414634146
CKD,clinic4_aec_best,external,SOMATOM Definition AS+,165,18,0.5729402872260014,0.5,0.6802721088435374,0.6606060606060606
CKD,clinic4_aec_best,external,iCT 256,135,20,0.7195652173913044,0.5,0.7304347826086957,0.6962962962962963
CKD,clinic4_aec_best,internal,Revolution CT,317,15,0.9368653421633554,0.9333333333333333,0.8311258278145696,0.8359621451104101
CKD,clinic4_aec_best,internal,Sensation 64,380,23,0.8466691024235781,0.9130434782608695,0.7310924369747899,0.7421052631578947
CKD,clinic4_aec_best,internal,SOMATOM Definition AS+,180,31,0.663347044814895,0.8387096774193549,0.5033557046979866,0.5611111111111111
CKD,clinic4_aec_best,internal,Ingenuity Core 128,202,14,0.6800911854103343,0.5714285714285714,0.6914893617021277,0.6831683168316832
DM,clinic4,external,Revolution EVO,149,57,0.6434019832189168,0.5789473684210527,0.6086956521739131,0.5973154362416108
DM,clinic4,external,LightSpeed VCT,50,9,0.7262872628726287,0.5555555555555556,0.7560975609756098,0.72
DM,clinic4,external,SOMATOM Definition Flash,228,78,0.6501709401709402,0.6282051282051282,0.54,0.5701754385964912
DM,clinic4,external,Sensation 64,48,17,0.6432637571157496,0.8235294117647058,0.2903225806451613,0.4791666666666667
DM,clinic4,external,SOMATOM Force,123,33,0.7457912457912458,0.8181818181818182,0.6,0.6585365853658537
DM,clinic4,external,SOMATOM Definition AS+,165,41,0.6410306845003934,0.7073170731707317,0.4838709677419355,0.5393939393939394
DM,clinic4,external,iCT 256,135,39,0.6800213675213674,0.6666666666666666,0.59375,0.6148148148148148
DM,clinic4,internal,Revolution CT,317,51,0.7453191803037005,0.6862745098039216,0.7293233082706767,0.722397476340694
DM,clinic4,internal,Sensation 64,380,69,0.7578638333566335,0.7391304347826086,0.6591639871382636,0.6736842105263158
DM,clinic4,internal,SOMATOM Definition AS+,180,44,0.6848262032085561,0.7272727272727273,0.47794117647058826,0.5388888888888889
DM,clinic4,internal,Ingenuity Core 128,202,38,0.6806803594351734,0.7105263157894737,0.6280487804878049,0.6435643564356436
DM,clinic4_aec_best,external,Revolution EVO,149,57,0.6855453852021358,0.7894736842105263,0.44565217391304346,0.5771812080536913
DM,clinic4_aec_best,external,LightSpeed VCT,50,9,0.7235772357723578,0.7777777777777778,0.5365853658536586,0.58
DM,clinic4_aec_best,external,SOMATOM Definition Flash,228,78,0.6711965811965812,0.8076923076923077,0.4533333333333333,0.5745614035087719
DM,clinic4_aec_best,external,Sensation 64,48,17,0.6584440227703985,0.9411764705882353,0.25806451612903225,0.5
DM,clinic4_aec_best,external,SOMATOM Force,123,33,0.7538720538720539,0.9090909090909091,0.4666666666666667,0.5853658536585366
DM,clinic4_aec_best,external,SOMATOM Definition AS+,165,41,0.708300550747443,0.8292682926829268,0.5483870967741935,0.6181818181818182
DM,clinic4_aec_best,external,iCT 256,135,39,0.7232905982905983,0.8205128205128205,0.4791666666666667,0.5777777777777777
DM,clinic4_aec_best,internal,Revolution CT,317,51,0.7476043048798466,0.7843137254901961,0.6466165413533834,0.668769716088328
DM,clinic4_aec_best,internal,Sensation 64,380,69,0.7791602590987465,0.8405797101449275,0.5884244372990354,0.6342105263157894
DM,clinic4_aec_best,internal,SOMATOM Definition AS+,180,44,0.7070521390374331,0.9772727272727273,0.36764705882352944,0.5166666666666667
DM,clinic4_aec_best,internal,Ingenuity Core 128,202,38,0.7145378690629012,0.7105263157894737,0.6402439024390244,0.6534653465346535
HTN,clinic4,external,Revolution EVO,149,88,0.7162816691505216,0.6477272727272727,0.6721311475409836,0.6577181208053692
HTN,clinic4,external,LightSpeed VCT,50,13,0.7214137214137214,0.5384615384615384,0.7297297297297297,0.68
HTN,clinic4,external,SOMATOM Definition Flash,228,96,0.7425031565656566,0.78125,0.5757575757575758,0.6622807017543859
HTN,clinic4,external,Sensation 64,48,29,0.6424682395644283,0.8275862068965517,0.3684210526315789,0.6458333333333334
HTN,clinic4,external,SOMATOM Force,123,58,0.7122015915119364,0.7241379310344828,0.6461538461538462,0.6829268292682927
HTN,clinic4,external,SOMATOM Definition AS+,165,76,0.7028385570668244,0.7894736842105263,0.5168539325842697,0.6424242424242425
HTN,clinic4,external,iCT 256,135,47,0.6888297872340424,0.7446808510638298,0.6136363636363636,0.6592592592592592
HTN,clinic4,internal,Revolution CT,317,60,0.856290531776913,0.85,0.7821011673151751,0.7949526813880127
