feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,182,0.42857241321718165,0.35081990006395825,0.5077039324624328,4756.338631856935,3276.6112284784335,0.6553382250474236,1.045461531971806e-23
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,202,0.5991759990475307,0.5006141210519058,0.6747146312710732,2914.5042409941925,2259.9006489660333,0.7775154222770884,3.716265460535425e-42
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,317,0.5715884930691519,0.49785226360209256,0.6360008060954412,3291.3873873367133,2448.7548421674082,0.7730854380485275,3.0657722643075506e-64
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,380,0.5026299009968778,0.4090385647706364,0.579384422350712,3495.719450468423,2597.867182629264,0.7178222272573425,2.067826139943774e-61
VAT(내장지방)_SUM,clinic4,external,iCT 256,135,0.373636566464436,0.1615280795535184,0.5403316522776626,3771.174330496378,2781.1380867955627,0.6485682360267135,1.8153291066813653e-17
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,149,0.07601006792234966,-0.15204371373501602,0.2494654415484937,5463.3463487347835,4255.967542928245,0.5932957837916724,1.548205020748879e-15
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,166,0.5305499112043879,0.41565051602404257,0.6169156768370958,3627.178881221205,2840.718243032843,0.7305928974242308,5.668248887061208e-29
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,123,0.547712916247042,0.4008121328840218,0.649968346558896,3738.2146848146635,2876.0852892774355,0.7408537130207311,1.1820921395026697e-22
VAT(내장지방)_SUM,clinic4,external,LightSpeed VCT,50,0.3739341499126966,-0.00916007616272123,0.5918997690269537,3484.5479046180067,2825.1087999906513,0.7654093659175436,9.571164821776895e-11
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,0.517099594180086,0.4268877229703934,0.5908479753668068,3592.389646625041,2784.250541102522,0.7194739082903576,1.2198690654761344e-37
VAT(내장지방)_SUM,clinic4,external,Sensation 64,48,0.3676893645090329,-0.02955490067869476,0.5494112199559701,4160.790591215719,3447.8411420808625,0.6437886164429594,7.965378603955036e-07
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,182,0.5584618672205767,0.45909721691041033,0.6452450302342237,4180.962515742066,2871.6008824802684,0.7524176957675321,1.809598636463365e-34
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,202,0.7147194273928456,0.6292097791767881,0.7749559675261924,2458.804113416833,1948.1460584625163,0.8470462238872202,8.431975053737891e-57
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,317,0.5992134116481886,0.5229107116562728,0.6642156467823547,3183.5012669296534,2326.363809218672,0.793646072066721,5.848663957449291e-70
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,380,0.6510629915789545,0.5761760660952956,0.7114169085584405,2927.994464348101,2168.8505107134515,0.8154109028538049,9.123520556244208e-92
VAT(내장지방)_SUM,clinic4_aec_fpca,external,iCT 256,135,0.4804554502657822,0.32136082707245145,0.6011470875473945,3434.5892604887895,2608.4201477230636,0.7067562444309179,9.928412825123736e-22
VAT(내장지방)_SUM,clinic4_aec_fpca,external,Revolution EVO,149,0.35201153312978817,0.2020445086740099,0.46311225639899284,4575.185972826093,3610.7393214111357,0.7182066740135664,6.405415475939502e-25
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,166,0.5689945357399356,0.46158113833492775,0.6539500207130493,3475.486848710113,2757.3179200400095,0.7697677072774889,8.560138239016805e-34
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Force,123,0.6253677227669666,0.5239492881625303,0.6979100085996567,3402.1992346539155,2645.389110708765,0.8079713280163454,1.4260400148337258e-29
VAT(내장지방)_SUM,clinic4_aec_fpca,external,LightSpeed VCT,50,0.5375660664269326,0.2807660112045653,0.6925165116615726,2994.754868269337,2437.407920500309,0.7832498214033754,1.786324145077439e-11
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition Flash,228,0.5319777220243267,0.45942248088157733,0.5968848622417868,3536.6160532594427,2729.3303769369436,0.7575320902035347,9.629466559004712e-44
VAT(내장지방)_SUM,clinic4_aec_fpca,external,Sensation 64,48,0.4586398596410437,0.13165615363010774,0.6222531780294193,3849.938157393028,3041.334654849894,0.6903305424813665,5.6716369701708105e-08
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,182,0.4457400382822674,0.32845836069215,0.5691573724225027,7063.902993952104,4740.662318939064,0.6677576072409563,7.397462222414883e-25
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,202,0.4272995580896497,0.19091639976225408,0.5859265265657982,3963.1461648704844,3023.804642172015,0.7452163454681131,4.775055219137766e-37
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,317,0.4930959491226887,0.399606387105577,0.5682177096863191,6099.612595845113,4552.6109407043405,0.7967589110536786,6.986933373519012e-71
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,380,0.4269638281268928,0.30364222461270624,0.5289997045191575,5084.370763865948,4001.912039070373,0.726119315986338,1.804550429464096e-63
SAT(피하지방)_SUM,clinic4,external,iCT 256,135,0.529488457235518,0.28371604032916653,0.6654086066954649,6505.626701720485,4886.091413205948,0.7287751475759472,1.2584327154811869e-23
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,149,0.16904957492196282,-0.06491560367592711,0.3404263873573018,8139.525538711416,6277.7421747010585,0.617388771713336,5.045736586462748e-17
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,166,0.698567488726226,0.6364027708543369,0.7527934145783494,5467.678759848597,4018.4272148554896,0.852746015189295,4.0221813352099693e-48
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,123,0.6257167169985136,0.4864332725024952,0.7146805640559329,5102.178139936994,3898.353939881098,0.7960518567102539,3.706190535432236e-28
SAT(피하지방)_SUM,clinic4,external,LightSpeed VCT,50,0.49334620679809527,0.1694676074221862,0.6830869625592911,4978.738871557308,4177.563419881338,0.7971864575989968,4.297419377397846e-12
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,0.6852294932790093,0.6098535491914264,0.7435605433968293,4817.7212786870705,3595.179556333797,0.8318499814267502,1.0323517288041693e-59
SAT(피하지방)_SUM,clinic4,external,Sensation 64,48,0.6954171854312837,0.4463350160873999,0.8297490487300381,4194.543995659309,3334.722293012194,0.8373887506657968,1.1873666167609767e-13
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,182,0.5492806893318748,0.44379482914804136,0.6280611634845903,6370.023809199226,4595.440176255198,0.7459694971112693,1.3247214495516605e-33
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,202,0.3426070047729679,0.05098569410447809,0.5319645681039159,4246.086789410146,3275.7340085073115,0.7318446872254614,3.751052960391815e-35
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,317,0.5522088879378134,0.472184537349027,0.61491612592645,5732.936168440154,4455.997117509827,0.819663407239321,3.3108392584811816e-78
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,380,0.5300341711387297,0.4245919978474517,0.61558800633864,4604.466686026701,3556.2024143122494,0.7762802891883704,9.417028754829716e-78
