feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT_TotalFat_ratio,clinic4,internal,1090,0.6423369973290691,0.6102403515702844,0.6726268971610587,0.06904217913633685,0.054332687998731775,0.8014618166628296,3.686502722030476e-245
VAT_TotalFat_ratio,clinic4,external,926,0.5200106967131912,0.4537732286333802,0.5772923885864988,0.08105991417811395,0.061561673488608706,0.7327905945335877,1.1476178967953164e-156
VAT_TotalFat_ratio,clinic4_aec_sd,internal,1090,0.6619464305401541,0.6316971464807645,0.6909431379088408,0.06712282774855673,0.052839411294374555,0.8136080304603834,1.7097347524957843e-258
VAT_TotalFat_ratio,clinic4_aec_sd,external,926,0.5524646908652815,0.4945455861394647,0.6053511939914444,0.0782715641686862,0.05945243685619893,0.7437235103779338,8.576478525095966e-164
VAT_TotalFat_ratio,clinic4_aec_skew,internal,1090,0.6438399320850317,0.6118611060512713,0.6734869246879893,0.06889696544620834,0.05430037696832785,0.8023989435545227,3.725432533203902e-246
VAT_TotalFat_ratio,clinic4_aec_skew,external,926,0.5231518635522234,0.45950864243579953,0.5797261819405164,0.08079424090206795,0.06142483152503867,0.7363196769524906,6.285618071387914e-159
VAT_TotalFat_ratio,clinic4_aec_uplow_ratio,internal,1090,0.6957832862297588,0.6686488772812618,0.72244600751788,0.0636750092178924,0.05056908104906655,0.8341388294756273,2.0434499009852562e-283
VAT_TotalFat_ratio,clinic4_aec_uplow_ratio,external,926,0.5923792887510505,0.5393037962810836,0.6380763797317923,0.07469963526080466,0.05694502299581545,0.7731585665144843,6.244870261521525e-185
VAT_TotalFat_ratio,clinic4_aec_fpca,internal,1090,0.6935493395640573,0.6645022045996164,0.7223939464566679,0.06390837310561161,0.049959796354721656,0.8328644517381221,9.018386325846489e-282
VAT_TotalFat_ratio,clinic4_aec_fpca,external,926,0.5868216853791552,0.534144726249484,0.6338192200714255,0.07520714804234344,0.05698548898443619,0.7713197341511713,1.615412619057527e-183
VAT_TotalFat_ratio,clinic4_aec_shape_all,internal,1090,0.7024616863694835,0.6738845785917837,0.7297422613681032,0.06297220923381007,0.04967262892064871,0.8382106591781333,9.115597844073842e-289
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,926,0.5980531336012598,0.5435926544173595,0.6449138280298963,0.07417792553699183,0.0566745024540419,0.7757562995499778,5.981661748445367e-187
VAT_SAT_ratio,clinic4,internal,1090,0.5937270044726026,0.560416635596979,0.6269574497037312,0.1734013977320534,0.12396212286449959,0.7705400928337841,4.903446015965819e-215
VAT_SAT_ratio,clinic4,external,926,0.4477471652234568,0.35879736355374603,0.5220051722818623,0.22538923432318617,0.15336333329142096,0.6771337885209099,3.209825802260993e-125
VAT_SAT_ratio,clinic4_aec_sd,internal,1090,0.6087886313898545,0.5755746887182877,0.6404417180845917,0.17015681552849882,0.1216154586414681,0.7802552455636874,5.715624633243122e-224
VAT_SAT_ratio,clinic4_aec_sd,external,926,0.4684703333610719,0.3863587295625196,0.5369991561756108,0.22111995934757359,0.15173100881943236,0.684539733911794,5.3682759787874364e-129
VAT_SAT_ratio,clinic4_aec_skew,internal,1090,0.5948056095237493,0.5613369069857824,0.6278420356901623,0.1731710650159958,0.12364702832178655,0.7712399185121341,1.1529704803573672e-215
VAT_SAT_ratio,clinic4_aec_skew,external,926,0.4488728243546265,0.3621509450637906,0.5213674036237838,0.22515941126851818,0.152535554542688,0.6797505017635166,1.5305531818202225e-126
VAT_SAT_ratio,clinic4_aec_uplow_ratio,internal,1090,0.6381561816288257,0.6083991053094951,0.6677315127834319,0.16364554792615338,0.11884249733598086,0.7988505228595344,2.053252644809008e-242
VAT_SAT_ratio,clinic4_aec_uplow_ratio,external,926,0.504330309107845,0.42531968658587216,0.5679164616162605,0.2135307242398242,0.14540283952219987,0.7133922475921779,7.482944230526336e-145
VAT_SAT_ratio,clinic4_aec_fpca,internal,1090,0.6432542300944679,0.6118896590531047,0.6742063604640142,0.1624886505129512,0.11754970135039909,0.8021203292748713,7.373719989248738e-246
VAT_SAT_ratio,clinic4_aec_fpca,external,926,0.5040279401783527,0.4242479898588157,0.5691981728735829,0.21359584342522128,0.14417825836244502,0.7146348706663388,1.4027308017830907e-145
VAT_SAT_ratio,clinic4_aec_shape_all,internal,1090,0.6459612032476539,0.6132009522493839,0.6773955621268642,0.16187099779163056,0.11714987438669561,0.8038593055692679,1.0214309707521656e-247
VAT_SAT_ratio,clinic4_aec_shape_all,external,926,0.5131702667664932,0.43087455942559577,0.5799390802977262,0.21161806492041618,0.14398948974304085,0.7170859820095605,5.026442609966851e-147
VAT_TAMA_ratio,clinic4,internal,1090,0.35396367088569325,0.26353677434765216,0.42285578131339985,0.17591597110018117,0.12757366004195966,0.5950296131301234,2.252790783206379e-105
VAT_TAMA_ratio,clinic4,external,926,0.30657109299138385,0.24473968636771667,0.3623373952657971,0.18790158416202257,0.14756119715166968,0.5748927670684792,1.4279592495154847e-82
VAT_TAMA_ratio,clinic4_aec_sd,internal,1090,0.3751655188451837,0.2835289938295968,0.44512572919595716,0.17300525447822868,0.12563243307365224,0.6126156832639171,2.7652979429244775e-113
VAT_TAMA_ratio,clinic4_aec_sd,external,926,0.3432174072515254,0.28895269489102887,0.39184811017920934,0.18286908311409392,0.14466104270653565,0.5864777601005269,1.1825685333574506e-86
VAT_TAMA_ratio,clinic4_aec_skew,internal,1090,0.36827782202188775,0.2772981969401114,0.43731116411211407,0.17395617981146777,0.12635987096166595,0.6069358788671034,1.1246146686865182e-110
VAT_TAMA_ratio,clinic4_aec_skew,external,926,0.2938706261119438,0.23342456829825162,0.34665014673284705,0.18961452804478196,0.14782431309848634,0.5792553691119785,4.332804675122666e-84
VAT_TAMA_ratio,clinic4_aec_uplow_ratio,internal,1090,0.42993652700634555,0.34149416849425157,0.5014328914107637,0.1652488351791891,0.11957834898934673,0.6557618125049978,5.65472373914132e-135
VAT_TAMA_ratio,clinic4_aec_uplow_ratio,external,926,0.41399248445844705,0.36625033259180534,0.4571339676463477,0.17273528601534469,0.13680965724482524,0.6520337755330429,3.3034115374415196e-113
VAT_TAMA_ratio,clinic4_aec_fpca,internal,1090,0.4876904527892376,0.39538686558359015,0.5599718636859737,0.15665455395432507,0.11253378369462973,0.6985687680490344,2.4128587755741747e-160
VAT_TAMA_ratio,clinic4_aec_fpca,external,926,0.36890501664069,0.31722337395061434,0.416792116878412,0.17925729328475093,0.14079408263800836,0.6650589676052012,2.7002293355759845e-119
VAT_TAMA_ratio,clinic4_aec_shape_all,internal,1090,0.4954012646381566,0.40453398186653083,0.565976933382977,0.15547117419449566,0.11187257299615128,0.7041923751270764,5.136327827604288e-164
VAT_TAMA_ratio,clinic4_aec_shape_all,external,926,0.3890972394092762,0.34002476118089936,0.4362860047027031,0.17636626361663418,0.13948167421367857,0.6637086007444528,1.1934154117596336e-118
TotalFat_TAMA_ratio,clinic4,internal,1090,0.3438624433624624,0.16082426709186107,0.5289761591448479,0.4984491240717107,0.30935856757655206,0.5865655171013782,9.746616065628866e-102
TotalFat_TAMA_ratio,clinic4,external,926,0.5245946836622064,0.476035699719498,0.567332326854391,0.4296865999866185,0.3285653350779835,0.7365993235363832,4.1456247885765633e-159
TotalFat_TAMA_ratio,clinic4_aec_sd,internal,1090,0.34602406784247774,0.16225283769767593,0.5321019811960265,0.49762738425749314,0.3075693084515901,0.5884091686835142,1.6068345033039112e-102
TotalFat_TAMA_ratio,clinic4_aec_sd,external,926,0.5320392644654062,0.4845199097137469,0.5746399170111683,0.4263089993138197,0.32597895300299984,0.7369980921887263,2.2878822301485824e-159
TotalFat_TAMA_ratio,clinic4_aec_skew,internal,1090,0.35026014083648715,0.16635330655152042,0.5352173248836722,0.49601309656376386,0.30710841695490537,0.5919891481780051,4.691429931537527e-104
TotalFat_TAMA_ratio,clinic4_aec_skew,external,926,0.513746167583483,0.46465058330678893,0.5577965129666033,0.4345615644868959,0.33192310708785716,0.7358800854190521,1.2078828147806964e-158
TotalFat_TAMA_ratio,clinic4_aec_uplow_ratio,internal,1090,0.36785363535618854,0.1821909330552775,0.552927308431927,0.4892515508700314,0.29954091024090373,0.6066789766427979,1.471557086656114e-110
TotalFat_TAMA_ratio,clinic4_aec_uplow_ratio,external,926,0.550268221612561,0.5026935888959466,0.5938440918001078,0.4179232968645854,0.3190046444852345,0.7500228543826211,4.5675962623910175e-168
TotalFat_TAMA_ratio,clinic4_aec_fpca,internal,1090,0.4081632080758433,0.210270803254212,0.6013633818106919,0.4733957651636369,0.28354720714890425,0.639418425163299,2.3897091121292668e-126
TotalFat_TAMA_ratio,clinic4_aec_fpca,external,926,0.4885764821120948,0.4392382964954926,0.5361755912206375,0.4456666546100641,0.3431234243650826,0.7585089155993225,4.963440243694587e-174
TotalFat_TAMA_ratio,clinic4_aec_shape_all,internal,1090,0.4170320269092368,0.2192173486896211,0.6103542380235943,0.4698354010209708,0.2797649190057901,0.6464764603442503,5.22638487512685e-130
TotalFat_TAMA_ratio,clinic4_aec_shape_all,external,926,0.4992057523993966,0.4497241938045112,0.5460194196529594,0.44101103750852727,0.33968162428422655,0.751678369006719,3.27517735545993e-169
SAT_TotalFat_ratio,clinic4,internal,1090,0.6423369973290691,0.6102403515702844,0.6726268971610586,0.06904217913633685,0.054332687998731775,0.8014618166628293,3.686502722032679e-245
SAT_TotalFat_ratio,clinic4,external,926,0.5200106967131913,0.45377322863338027,0.5772923885864987,0.08105991417811394,0.0615616734886087,0.7327905945335877,1.1476178967953164e-156
SAT_TotalFat_ratio,clinic4_aec_sd,internal,1090,0.6619464305401541,0.6316971464807646,0.6909431379088408,0.06712282774855671,0.05283941129437455,0.8136080304603834,1.7097347524957843e-258
SAT_TotalFat_ratio,clinic4_aec_sd,external,926,0.5524646908652815,0.4945455861394646,0.6053511939914443,0.0782715641686862,0.05945243685619893,0.7437235103779338,8.576478525095966e-164
SAT_TotalFat_ratio,clinic4_aec_skew,internal,1090,0.6438399320850317,0.6118611060512714,0.6734869246879893,0.06889696544620832,0.05430037696832785,0.8023989435545227,3.725432533203902e-246
SAT_TotalFat_ratio,clinic4_aec_skew,external,926,0.5231518635522234,0.4595086424357994,0.5797261819405163,0.08079424090206795,0.06142483152503867,0.7363196769524905,6.285618071387914e-159
SAT_TotalFat_ratio,clinic4_aec_uplow_ratio,internal,1090,0.6957832862297589,0.6686488772812619,0.7224460075178801,0.0636750092178924,0.050569081049066544,0.8341388294756273,2.0434499009852562e-283
