feature,cohort,auc_a,auc_b,diff,z,p_value
SAT(피하지방)_SUM,internal,0.8497446491077064,0.8576275319905893,-0.007882882882882858,-1.045058740701898,0.29599582165980165
SAT(피하지방)_SUM,external,0.8859905514592256,0.9008521347520863,-0.014861583292860692,-2.037467080385481,0.04160325760655778
VAT(내장지방)_SUM,internal,0.8943357903357904,0.8903914823914825,0.00394430794430789,0.9708976566157765,0.33159924522817885
VAT(내장지방)_SUM,external,0.8600291692299186,0.8648469306643258,-0.004817761434407264,-1.1057618510265457,0.26882961106106196
Total Fat_SUM,internal,0.8706248591967559,0.8772537052587025,-0.0066288460619465805,-1.2668104747713858,0.2052230657696973
Total Fat_SUM,external,0.8892545316689204,0.8930299453620254,-0.0037754136931049675,-0.6229836147080441,0.5332952893509657
VAT_TotalFat_ratio,internal,0.8301951600312256,0.8199656518345042,0.010229508196721415,1.8566077440976907,0.06336698137134328
VAT_TotalFat_ratio,external,0.7866217685643131,0.7882072328036761,-0.0015854642393630103,-0.41443458642896885,0.6785558637513847
VAT_SAT_ratio,internal,0.8441158471690081,0.8400183588761175,0.004097488292890583,0.8089015149274826,0.4185717974617883
VAT_SAT_ratio,external,0.7837078651685393,0.786021150033047,-0.0023132848645076587,-0.5553315071943428,0.5786679318580494
VAT_TAMA_ratio,internal,0.8902433486223652,0.8889198850403202,0.001323463582045048,0.39133944221832795,0.6955463481391534
VAT_TAMA_ratio,external,0.849186627559611,0.8495260985280538,-0.0003394709684427788,-0.06935081606215829,0.9447103777016669
TotalFat_TAMA_ratio,internal,0.8477199695832414,0.8477363226792913,-1.635309604997026e-05,-0.0030736218777264895,0.9975476084193692
TotalFat_TAMA_ratio,external,0.8561587376354215,0.8484287732992396,0.007729964336181894,1.4817174567659388,0.13841549017809746
SAT_TotalFat_ratio,internal,0.8111028387072141,0.8195661442325437,-0.00846330552532959,-1.2367653567612897,0.21617420689804123
SAT_TotalFat_ratio,external,0.7957815908709515,0.7932748783352912,0.0025067125356602604,0.26726810761194386,0.7892627402951925
SAT_TAMA_ratio,internal,0.8451550662040643,0.8410305884018976,0.004124477802166737,0.46507447015319126,0.6418781277555259
SAT_TAMA_ratio,external,0.8385222083852221,0.8376818637426723,0.000840344642549784,0.11150249046189413,0.9112178908134677
