curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.1,64,0.05,0.0003,1e-05,32,0.7141070409293891,-0.004455142195212036
raw,"(64, 128, 64)","(7, 5, 3)",0.1,64,0.05,0.003,1e-05,128,0.6969537991471645,-0.021608383977436696
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.2,64,0.0,0.001,0.001,128,0.6937430749085048,-0.02481910821609634
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.6,32,0.02,0.0003,0.001,32,0.7150555686129672,-0.003506614511634032
raw,"(16, 32, 16)","(7, 5, 3)",0.6,16,0.1,0.001,1e-05,64,0.6920222945975891,-0.026539888527012057
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.2,32,0.05,0.003,0.001,128,0.7037529798878555,-0.014809203236745727
raw,"(16, 32, 16)","(5, 3, 3)",0.4,64,0.02,0.0005,0.001,128,0.6909856293858913,-0.02757655373870993
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.4,8,0.1,0.0003,1e-05,128,0.7048106302252962,-0.013751552899304964
raw,"(64, 128, 64)","(11, 9, 7)",0.1,32,0.02,0.0003,0.001,128,0.6749194171171474,-0.04364276600745376
raw,"(32, 64, 32)","(7, 5, 3)",0.4,8,0.05,0.002,1e-05,32,0.7186062518886613,4.4068764060156695e-05
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.1,64,0.0,0.0005,1e-05,64,0.7077191686532586,-0.010843014471342616
raw,"(64, 128, 64)","(11, 9, 7)",0.6,32,0.1,0.0003,0.0001,128,0.6720696370412652,-0.04649254608333597
raw,"(32, 64, 32)","(5, 3, 3)",0.4,64,0.0,0.003,0.0001,128,0.6877371319208946,-0.0308250512037066
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.6,64,0.02,0.001,0.0001,32,0.7206334150354228,0.0020712319108215915
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.4,8,0.02,0.002,0.001,32,0.6835023335459827,-0.03505984957861852
raw,"(64, 128, 64)","(15, 11, 7)",0.4,32,0.02,0.002,0.0001,128,0.6760861901084512,-0.042475993016150015
raw,"(128, 256, 128)","(7, 5, 3)",0.6,16,0.0,0.0005,0.0001,64,0.7015390491219824,-0.01702313400261879
raw,"(32, 64, 32)","(7, 5, 3)",0.1,16,0.02,0.0003,1e-05,32,0.686763422086425,-0.03179876103817614
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.2,32,0.05,0.001,1e-05,64,0.7147533828022697,-0.0038088003223314404
raw,"(128, 256, 128)","(5, 3, 3)",0.4,64,0.02,0.0005,1e-05,64,0.6886982506799181,-0.029863932444683106
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,8,0.05,0.003,0.001,64,0.7224968942013901,0.003934711076788888
raw,"(32, 64, 32)","(7, 5, 3)",0.2,16,0.05,0.0003,0.001,32,0.6836408353758856,-0.03492134774871558
raw,"(32, 64, 32)","(11, 9, 7)",0.6,8,0.0,0.0003,0.001,64,0.6576780378068026,-0.06088414531779862
raw,"(128, 256, 128)","(11, 9, 7)",0.6,64,0.05,0.0003,0.0001,64,0.6838716717590572,-0.03469051136554402
raw,"(32, 64, 32)","(11, 9, 7)",0.4,8,0.05,0.0005,1e-05,128,0.6880980760836719,-0.030464107040929278
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.6,32,0.05,0.0003,1e-05,32,0.7200878017661081,0.0015256186415069095
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.2,32,0.0,0.001,0.001,32,0.7187027834670786,0.00014060034247742603
raw,"(128, 256, 128)","(5, 3, 3)",0.6,32,0.05,0.001,1e-05,128,0.6698410166873721,-0.048721166437229124
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.1,16,0.0,0.0003,0.001,32,0.6893194104019071,-0.029242772722694044
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.1,8,0.1,0.001,0.001,64,0.6912416479199543,-0.027320535204646834
raw,"(32, 64, 32)","(7, 5, 3)",0.4,16,0.02,0.0003,0.0001,32,0.6806693415706947,-0.03789284155390649
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.4,64,0.05,0.0005,0.0001,128,0.7182914750025182,-0.00027070812208296324
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.2,8,0.05,0.002,0.0001,64,0.7009703522143504,-0.01759183091025074
raw,"(128, 256, 128)","(5, 3, 3)",0.1,8,0.0,0.001,0.0001,32,0.6935877849780077,-0.024974398146593524
raw,"(64, 128, 64)","(11, 9, 7)",0.1,32,0.1,0.0005,0.001,128,0.6758889299264681,-0.04267325319813309
raw,"(128, 256, 128)","(5, 3, 3)",0.4,32,0.02,0.0005,0.0001,128,0.6963913977772554,-0.022170785347345734
patient_zscore,"(64, 128, 64)","(5, 3, 3)",0.2,8,0.1,0.001,0.001,32,0.7074715441694925,-0.011090638955108645
