curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.2,16,0.1,0.0003,1e-05,32,0.7213762884867205,0.0028141053621193457
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,32,0.05,0.001,0.001,32,0.7237769868717054,0.005214803747104257
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.1,8,0.05,0.0005,0.0001,32,0.7210489205251318,0.0024867374005306253
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.2,8,0.05,0.0005,0.0001,32,0.7194414598932277,0.0008792767686265357
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.6,64,0.0,0.0005,0.001,32,0.7219009166302924,0.0033387335056912493
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,64,0.0,0.0003,0.001,32,0.712915085787194,-0.005647097337407203
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.4,32,0.05,0.0003,1e-05,32,0.7250906557432092,0.0065284726186080055
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,8,0.05,0.003,0.001,64,0.7253886445287582,0.0068264614041569915
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.4,64,0.05,0.002,0.0001,64,0.7195841587482792,0.0010219756236780064
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.2,32,0.05,0.0005,0.0001,128,0.7176661182553806,-0.0008960648692205586
