feature,model,cohort,n,n_pos,prevalence,auc,threshold,sensitivity,specificity,accuracy
HTN,clinic4,internal,1088,329,0.3023897058823529,0.8082823744248351,0.32343803029772056,0.7355623100303952,0.7509881422924901,0.7463235294117647
HTN,clinic4,external,925,425,0.4594594594594595,0.7143929411764706,0.32343803029772056,0.6847058823529412,0.654,0.6681081081081081
HTN,clinic4_meanmAs,internal,1088,329,0.3023897058823529,0.8129597815074227,0.32905488204846356,0.7325227963525835,0.758893280632411,0.7509191176470589
HTN,clinic4_meanmAs,external,925,425,0.4594594594594595,0.7184752941176471,0.32905488204846356,0.5435294117647059,0.746,0.652972972972973
HTN,clinic4_meanmAs_aec,internal,1088,329,0.3023897058823529,0.8180256376371086,0.28469276477070915,0.78419452887538,0.7140974967061924,0.7352941176470589
HTN,clinic4_meanmAs_aec,external,925,425,0.4594594594594595,0.7308094117647059,0.28469276477070915,0.6705882352941176,0.694,0.6832432432432433
HTN,clinic4_vatsat,internal,1088,329,0.3023897058823529,0.8176171654432525,0.2504657123039637,0.8267477203647416,0.6719367588932806,0.71875
HTN,clinic4_vatsat,external,925,425,0.4594594594594595,0.7284517647058824,0.2504657123039637,0.8,0.548,0.6637837837837838
HTN,clinic4_vatsat_aec,internal,1088,329,0.3023897058823529,0.819803693069188,0.2280016585418927,0.8389057750759878,0.6495388669301713,0.7068014705882353
HTN,clinic4_vatsat_aec,external,925,425,0.4594594594594595,0.733529411764706,0.2280016585418927,0.7741176470588236,0.588,0.6735135135135135
DM,clinic4,internal,1088,204,0.1875,0.7269430396593026,0.17095786757774944,0.7549019607843137,0.6199095022624435,0.6452205882352942
DM,clinic4,external,925,285,0.3081081081081081,0.6618722587719299,0.17095786757774944,0.7052631578947368,0.53125,0.5848648648648649
DM,clinic4_meanmAs,internal,1088,204,0.1875,0.726449516458167,0.17011779438786076,0.75,0.6176470588235294,0.6424632352941176
DM,clinic4_meanmAs,external,925,285,0.3081081081081081,0.6628015350877193,0.17011779438786076,0.6491228070175439,0.5953125,0.6118918918918919
DM,clinic4_meanmAs_aec,internal,1088,204,0.1875,0.748242170171236,0.15501546038548789,0.803921568627451,0.6006787330316742,0.6387867647058824
DM,clinic4_meanmAs_aec,external,925,285,0.3081081081081081,0.6985800438596491,0.15501546038548789,0.8070175438596491,0.5078125,0.6
DM,clinic4_vatsat,internal,1088,204,0.1875,0.7314180196965665,0.1624772435205265,0.7647058823529411,0.6040723981900452,0.6341911764705882
DM,clinic4_vatsat,external,925,285,0.3081081081081081,0.6741502192982457,0.1624772435205265,0.7403508771929824,0.515625,0.5848648648648649
DM,clinic4_vatsat_aec,internal,1088,204,0.1875,0.7458189158016149,0.15754069301194598,0.7941176470588235,0.6063348416289592,0.6415441176470589
DM,clinic4_vatsat_aec,external,925,285,0.3081081081081081,0.6986184210526316,0.15754069301194598,0.8105263157894737,0.49375,0.5913513513513513
CKD,clinic4,internal,1088,83,0.07628676470588236,0.7917281064556734,0.05320952334199308,0.8433734939759037,0.6109452736318408,0.6286764705882353
CKD,clinic4,external,925,168,0.18162162162162163,0.6210251934327231,0.05320952334199308,0.6904761904761905,0.5006605019815059,0.5351351351351351
CKD,clinic4_meanmAs,internal,1088,83,0.07628676470588236,0.7981178445123778,0.07256759264485806,0.7831325301204819,0.6955223880597015,0.7022058823529411
CKD,clinic4_meanmAs,external,925,168,0.18162162162162163,0.6125133673020067,0.07256759264485806,0.4226190476190476,0.6961690885072656,0.6464864864864864
CKD,clinic4_meanmAs_aec,internal,1088,83,0.07628676470588236,0.808583588083678,0.047669466038361835,0.9036144578313253,0.5990049751243781,0.6222426470588235
CKD,clinic4_meanmAs_aec,external,925,168,0.18162162162162163,0.6430379945901743,0.047669466038361835,0.6369047619047619,0.5416116248348745,0.5589189189189189
CKD,clinic4_vatsat,internal,1088,83,0.07628676470588236,0.8063178085476234,0.05820023177856506,0.8554216867469879,0.6477611940298508,0.6636029411764706
CKD,clinic4_vatsat,external,925,168,0.18162162162162163,0.6205573378624898,0.05820023177856506,0.6845238095238095,0.4848084544253633,0.5210810810810811
CKD,clinic4_vatsat_aec,internal,1088,83,0.07628676470588236,0.8114967332014626,0.05078638633130652,0.9156626506024096,0.6218905472636815,0.6443014705882353
CKD,clinic4_vatsat_aec,external,925,168,0.18162162162162163,0.6368418569541423,0.05078638633130652,0.6845238095238095,0.4900924702774108,0.5254054054054054
