feature,cohort,baseline_model,extended_model,nri,idi,p_up_event,p_down_event,p_up_nonevent,p_down_nonevent
HTN,internal,clinic4,clinic4_meanmAs,0.1402,0.0047,0.5506,0.4494,0.4805,0.5195
HTN,external,clinic4,clinic4_meanmAs,0.0518,-0.0133,0.1006,0.8994,0.0747,0.9253
HTN,internal,clinic4_meanmAs,clinic4_meanmAs_aec,0.3438,0.0163,0.5792,0.4208,0.4073,0.5927
HTN,external,clinic4_meanmAs,clinic4_meanmAs_aec,0.0778,0.0084,0.6785,0.3215,0.6396,0.3604
HTN,internal,clinic4,clinic4_vatsat,0.3646,0.0361,0.561,0.439,0.3787,0.6213
HTN,external,clinic4,clinic4_vatsat,0.239,0.0249,0.5562,0.4438,0.4367,0.5633
HTN,internal,clinic4_vatsat,clinic4_vatsat_aec,0.1837,0.0049,0.5221,0.4779,0.4302,0.5698
HTN,external,clinic4_vatsat,clinic4_vatsat_aec,-0.0623,-0.0069,0.2367,0.7633,0.2679,0.7321
DM,internal,clinic4,clinic4_meanmAs,-0.0597,-0.0005,0.4784,0.5216,0.5083,0.4917
DM,external,clinic4,clinic4_meanmAs,-0.0199,-0.0004,0.0776,0.9224,0.0876,0.9124
DM,internal,clinic4_meanmAs,clinic4_meanmAs_aec,0.3298,0.0245,0.569,0.431,0.4041,0.5959
DM,external,clinic4_meanmAs,clinic4_meanmAs_aec,-0.0149,0.0066,0.6537,0.3463,0.6612,0.3388
DM,internal,clinic4,clinic4_vatsat,0.1581,0.0145,0.5172,0.4828,0.4382,0.5618
DM,external,clinic4,clinic4_vatsat,0.1082,0.0109,0.5224,0.4776,0.4683,0.5317
DM,internal,clinic4_vatsat,clinic4_vatsat_aec,0.2207,0.0113,0.5086,0.4914,0.3982,0.6018
DM,external,clinic4_vatsat,clinic4_vatsat_aec,0.0108,0.003,0.7224,0.2776,0.717,0.283
CKD,internal,clinic4,clinic4_meanmAs,0.077,-0.0002,0.5429,0.4571,0.5043,0.4957
CKD,external,clinic4,clinic4_meanmAs,-0.0606,-0.0033,0.0638,0.9362,0.0941,0.9059
CKD,internal,clinic4_meanmAs,clinic4_meanmAs_aec,0.2486,0.0068,0.5429,0.4571,0.4185,0.5815
CKD,external,clinic4_meanmAs,clinic4_meanmAs_aec,0.1932,0.0078,0.7394,0.2606,0.6428,0.3572
CKD,internal,clinic4,clinic4_vatsat,-0.0596,0.0053,0.4095,0.5905,0.4393,0.5607
CKD,external,clinic4,clinic4_vatsat,0.0225,0.0061,0.4947,0.5053,0.4834,0.5166
CKD,internal,clinic4_vatsat,clinic4_vatsat_aec,0.3076,0.0055,0.5429,0.4571,0.3891,0.6109
CKD,external,clinic4_vatsat,clinic4_vatsat_aec,0.0873,0.0045,0.633,0.367,0.5893,0.4107
