feature,model,cohort,n,n_pos,prevalence,auc,threshold,sensitivity,specificity,accuracy
HTN,clinic4,internal,1088,329,0.3023897058823529,0.8082823744248351,0.32343803029772056,0.7355623100303952,0.7509881422924901,0.7463235294117647
HTN,clinic4,external,925,425,0.4594594594594595,0.7143929411764706,0.32343803029772056,0.6847058823529412,0.654,0.6681081081081081
HTN,clinic4_meanmAs,internal,1088,329,0.3023897058823529,0.8129597815074227,0.32905488204846356,0.7325227963525835,0.758893280632411,0.7509191176470589
HTN,clinic4_meanmAs,external,925,425,0.4594594594594595,0.7184752941176471,0.32905488204846356,0.5435294117647059,0.746,0.652972972972973
HTN,clinic4_meanmAs_aec,internal,1088,329,0.3023897058823529,0.8180256376371086,0.28469276477070915,0.78419452887538,0.7140974967061924,0.7352941176470589
HTN,clinic4_meanmAs_aec,external,925,425,0.4594594594594595,0.7308094117647059,0.28469276477070915,0.6705882352941176,0.694,0.6832432432432433
HTN,clinic4_vatsatratio,internal,1088,329,0.3023897058823529,0.8119946658337038,0.28510834413601094,0.7872340425531915,0.7154150197628458,0.7371323529411765
HTN,clinic4_vatsatratio,external,925,425,0.4594594594594595,0.7276235294117647,0.28510834413601094,0.7576470588235295,0.616,0.6810810810810811
HTN,clinic4_vatsatratio_aec,internal,1088,329,0.3023897058823529,0.8167801979087825,0.2542610590899919,0.817629179331307,0.6758893280632411,0.71875
HTN,clinic4_vatsatratio_aec,external,925,425,0.4594594594594595,0.7362494117647059,0.2542610590899919,0.72,0.656,0.6854054054054054
DM,clinic4,internal,1088,204,0.1875,0.7269430396593026,0.17095786757774944,0.7549019607843137,0.6199095022624435,0.6452205882352942
DM,clinic4,external,925,285,0.3081081081081081,0.6618722587719299,0.17095786757774944,0.7052631578947368,0.53125,0.5848648648648649
DM,clinic4_meanmAs,internal,1088,204,0.1875,0.726449516458167,0.17011779438786076,0.75,0.6176470588235294,0.6424632352941176
DM,clinic4_meanmAs,external,925,285,0.3081081081081081,0.6628015350877193,0.17011779438786076,0.6491228070175439,0.5953125,0.6118918918918919
DM,clinic4_meanmAs_aec,internal,1088,204,0.1875,0.748242170171236,0.15501546038548789,0.803921568627451,0.6006787330316742,0.6387867647058824
DM,clinic4_meanmAs_aec,external,925,285,0.3081081081081081,0.6985800438596491,0.15501546038548789,0.8070175438596491,0.5078125,0.6
DM,clinic4_vatsatratio,internal,1088,204,0.1875,0.7286897790790524,0.1551179250428721,0.7794117647058824,0.5859728506787331,0.6222426470588235
DM,clinic4_vatsatratio,external,925,285,0.3081081081081081,0.6752467105263157,0.1551179250428721,0.7789473684210526,0.490625,0.5794594594594594
DM,clinic4_vatsatratio_aec,internal,1088,204,0.1875,0.7462070801171148,0.15498692490481622,0.7990196078431373,0.6029411764705882,0.6397058823529411
DM,clinic4_vatsatratio_aec,external,925,285,0.3081081081081081,0.7003563596491228,0.15498692490481622,0.8,0.5046875,0.5956756756756757
CKD,clinic4,internal,1088,83,0.07628676470588236,0.7917281064556734,0.05320952334199308,0.8433734939759037,0.6109452736318408,0.6286764705882353
CKD,clinic4,external,925,168,0.18162162162162163,0.6210251934327231,0.05320952334199308,0.6904761904761905,0.5006605019815059,0.5351351351351351
CKD,clinic4_meanmAs,internal,1088,83,0.07628676470588236,0.7981178445123778,0.07256759264485806,0.7831325301204819,0.6955223880597015,0.7022058823529411
CKD,clinic4_meanmAs,external,925,168,0.18162162162162163,0.6125133673020067,0.07256759264485806,0.4226190476190476,0.6961690885072656,0.6464864864864864
CKD,clinic4_meanmAs_aec,internal,1088,83,0.07628676470588236,0.808583588083678,0.047669466038361835,0.9036144578313253,0.5990049751243781,0.6222426470588235
CKD,clinic4_meanmAs_aec,external,925,168,0.18162162162162163,0.6430379945901743,0.047669466038361835,0.6369047619047619,0.5416116248348745,0.5589189189189189
CKD,clinic4_vatsatratio,internal,1088,83,0.07628676470588236,0.7910567643709165,0.046786200046233906,0.8795180722891566,0.5761194029850746,0.5992647058823529
CKD,clinic4_vatsatratio,external,925,168,0.18162162162162163,0.6163348430521481,0.046786200046233906,0.7261904761904762,0.4570673712021136,0.505945945945946
CKD,clinic4_vatsatratio_aec,internal,1088,83,0.07628676470588236,0.8158964215069233,0.05420741186639504,0.8674698795180723,0.6378109452736318,0.6553308823529411
CKD,clinic4_vatsatratio_aec,external,925,168,0.18162162162162163,0.6322262062024282,0.05420741186639504,0.6011904761904762,0.583883751651255,0.587027027027027
