feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
CKD,clinic4,external,GE,217,49,0.6244533527696793,0.5102040816326531,0.6607142857142857,0.6267281105990783
CKD,clinic4,external,Siemens,654,109,0.5975759616193923,0.6972477064220184,0.46788990825688076,0.5061162079510704
CKD,clinic4,external,Philips,228,29,0.7203257667648588,0.7931034482758621,0.5175879396984925,0.5526315789473685
CKD,clinic4,external,Other,24,1,0.4782608695652174,1.0,0.34782608695652173,0.375
CKD,clinic4,internal,Siemens,688,74,0.749185667752443,0.8378378378378378,0.5765472312703583,0.6046511627906976
CKD,clinic4,internal,Philips,236,18,0.713302752293578,0.7222222222222222,0.536697247706422,0.5508474576271186
CKD,clinic4,internal,GE,329,13,0.8439629990262901,0.8461538461538461,0.7468354430379747,0.7507598784194529
CKD,clinic4_meanmAs,external,GE,217,49,0.6217201166180758,0.42857142857142855,0.7619047619047619,0.6866359447004609
CKD,clinic4_meanmAs,external,Siemens,654,109,0.5945459136436326,0.44954128440366975,0.6495412844036698,0.6162079510703364
CKD,clinic4_meanmAs,external,Philips,228,29,0.718246404435973,0.6206896551724138,0.6532663316582915,0.6491228070175439
CKD,clinic4_meanmAs,external,Other,24,1,0.4782608695652174,0.0,0.5217391304347826,0.5
CKD,clinic4_meanmAs,internal,Siemens,688,74,0.747116823664055,0.7297297297297297,0.6710097719869706,0.6773255813953488
CKD,clinic4_meanmAs,internal,Philips,236,18,0.7143221202854231,0.7222222222222222,0.6605504587155964,0.6652542372881356
CKD,clinic4_meanmAs,internal,GE,329,13,0.8432327166504382,0.6923076923076923,0.819620253164557,0.8145896656534954
CKD,clinic4_meanmAs_aec,external,GE,217,49,0.6400631681243927,0.6122448979591837,0.5178571428571429,0.5391705069124424
CKD,clinic4_meanmAs_aec,external,Siemens,654,109,0.6042420671660634,0.6697247706422018,0.47155963302752296,0.5045871559633027
CKD,clinic4_meanmAs_aec,external,Philips,228,29,0.740079708889274,0.8620689655172413,0.48743718592964824,0.5350877192982456
CKD,clinic4_meanmAs_aec,external,Other,24,1,0.5217391304347826,1.0,0.2608695652173913,0.2916666666666667
