feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
CKD,clinic4,external,iCT 256,135,20,0.6586956521739131,0.65,0.5478260869565217,0.562962962962963
CKD,clinic4,external,Revolution EVO,149,39,0.578088578088578,0.5897435897435898,0.509090909090909,0.5302013422818792
CKD,clinic4,external,SOMATOM Definition AS+,165,18,0.5536659108087679,0.6111111111111112,0.4489795918367347,0.4666666666666667
CKD,clinic4,external,SOMATOM Force,123,24,0.5913299663299664,0.625,0.494949494949495,0.5203252032520326
CKD,clinic4,external,LightSpeed VCT,50,4,0.7934782608695652,0.75,0.6739130434782609,0.68
CKD,clinic4,external,SOMATOM Definition Flash,228,44,0.650691699604743,0.7954545454545454,0.4782608695652174,0.5394736842105263
CKD,clinic4,external,Sensation 64,48,10,0.6263157894736842,0.8,0.3684210526315789,0.4583333333333333
CKD,clinic4,internal,SOMATOM Definition AS+,180,31,0.6479757523273435,0.7741935483870968,0.40939597315436244,0.4722222222222222
CKD,clinic4,internal,Ingenuity Core 128,202,14,0.6941489361702128,0.7142857142857143,0.48404255319148937,0.5
CKD,clinic4,internal,Revolution CT,317,15,0.9158940397350994,0.9333333333333333,0.7549668874172185,0.7634069400630915
CKD,clinic4,internal,Sensation 64,380,23,0.834733893557423,0.9565217391304348,0.6414565826330533,0.6605263157894737
CKD,clinic4_meanmAs,external,iCT 256,135,20,0.6791304347826088,0.45,0.7652173913043478,0.7185185185185186
CKD,clinic4_meanmAs,external,Revolution EVO,149,39,0.5631701631701631,0.41025641025641024,0.6545454545454545,0.5906040268456376
CKD,clinic4_meanmAs,external,SOMATOM Definition AS+,165,18,0.5665154950869236,0.5,0.6190476190476191,0.6060606060606061
CKD,clinic4_meanmAs,external,SOMATOM Force,123,24,0.5723905723905724,0.3333333333333333,0.7474747474747475,0.6666666666666666
CKD,clinic4_meanmAs,external,LightSpeed VCT,50,4,0.7934782608695652,0.75,0.782608695652174,0.78
CKD,clinic4_meanmAs,external,SOMATOM Definition Flash,228,44,0.6435276679841897,0.36363636363636365,0.7336956521739131,0.6622807017543859
CKD,clinic4_meanmAs,external,Sensation 64,48,10,0.5657894736842105,0.6,0.5,0.5208333333333334
