Outcome,Model,Cohort,n (n_pos),AUC,Sensitivity,Specificity,Accuracy
Hypertension,clinic4,Internal,1088 (329),0.808,73.6%,75.1%,74.6%
Hypertension,clinic4,External,925 (425),0.714,68.5%,65.4%,66.8%
Hypertension,clinic4 + mean mAs,Internal,1088 (329),0.813,73.3%,75.9%,75.1%
Hypertension,clinic4 + mean mAs,External,925 (425),0.718,54.4%,74.6%,65.3%
Hypertension,clinic4 + mean mAs + AEC,Internal,1088 (329),0.818,78.4%,71.4%,73.5%
Hypertension,clinic4 + mean mAs + AEC,External,925 (425),0.731,67.1%,69.4%,68.3%
Hypertension,clinic4 + VAT + SAT,Internal,1088 (329),0.818,82.7%,67.2%,71.9%
Hypertension,clinic4 + VAT + SAT,External,925 (425),0.728,80.0%,54.8%,66.4%
Hypertension,clinic4 + VAT + SAT + AEC,Internal,1088 (329),0.820,83.9%,65.0%,70.7%
Hypertension,clinic4 + VAT + SAT + AEC,External,925 (425),0.734,77.4%,58.8%,67.4%
Diabetes mellitus,clinic4,Internal,1088 (204),0.727,75.5%,62.0%,64.5%
Diabetes mellitus,clinic4,External,925 (285),0.662,70.5%,53.1%,58.5%
Diabetes mellitus,clinic4 + mean mAs,Internal,1088 (204),0.726,75.0%,61.8%,64.2%
Diabetes mellitus,clinic4 + mean mAs,External,925 (285),0.663,64.9%,59.5%,61.2%
Diabetes mellitus,clinic4 + mean mAs + AEC,Internal,1088 (204),0.748,80.4%,60.1%,63.9%
Diabetes mellitus,clinic4 + mean mAs + AEC,External,925 (285),0.699,80.7%,50.8%,60.0%
Diabetes mellitus,clinic4 + VAT + SAT,Internal,1088 (204),0.731,76.5%,60.4%,63.4%
Diabetes mellitus,clinic4 + VAT + SAT,External,925 (285),0.674,74.0%,51.6%,58.5%
Diabetes mellitus,clinic4 + VAT + SAT + AEC,Internal,1088 (204),0.746,79.4%,60.6%,64.2%
Diabetes mellitus,clinic4 + VAT + SAT + AEC,External,925 (285),0.699,81.1%,49.4%,59.1%
Chronic kidney disease,clinic4,Internal,1088 (83),0.792,84.3%,61.1%,62.9%
Chronic kidney disease,clinic4,External,925 (168),0.621,69.0%,50.1%,53.5%
Chronic kidney disease,clinic4 + mean mAs,Internal,1088 (83),0.798,78.3%,69.6%,70.2%
Chronic kidney disease,clinic4 + mean mAs,External,925 (168),0.613,42.3%,69.6%,64.6%
Chronic kidney disease,clinic4 + mean mAs + AEC,Internal,1088 (83),0.809,90.4%,59.9%,62.2%
Chronic kidney disease,clinic4 + mean mAs + AEC,External,925 (168),0.643,63.7%,54.2%,55.9%
Chronic kidney disease,clinic4 + VAT + SAT,Internal,1088 (83),0.806,85.5%,64.8%,66.4%
Chronic kidney disease,clinic4 + VAT + SAT,External,925 (168),0.621,68.5%,48.5%,52.1%
Chronic kidney disease,clinic4 + VAT + SAT + AEC,Internal,1088 (83),0.811,91.6%,62.2%,64.4%
Chronic kidney disease,clinic4 + VAT + SAT + AEC,External,925 (168),0.637,68.5%,49.0%,52.5%
